pca__n_components,max_depth,learning_rate,n_estimators,threshold,accuracy,precision,recall,f1,mcc
150,3,0.01,100,0.1,0.423956442831216,0.20409161806838177,0.9111111111111111,0.33259256586675756,0.1970056243388207
150,3,0.01,100,0.2,0.8473684210526315,0.5215811965811966,0.6666666666666667,0.5788282828282828,0.4984747903479178
150,3,0.01,100,0.30000000000000004,0.8751966122202056,0.679047619047619,0.42222222222222217,0.5072344322344322,0.46491560801004733
150,3,0.01,100,0.4,0.8854809437386569,1.0,0.26666666666666666,0.3955844155844156,0.4639373873405249
150,3,0.01,100,0.5,0.8575922565033272,1.0,0.08888888888888888,0.15272727272727274,0.21172456035002515
150,3,0.01,100,0.6,0.8506352087114337,1.0,0.04444444444444444,0.08,0.12362301999273743
150,3,0.01,100,0.7000000000000001,0.8437386569872958,1.0,0.0,0.0,0.0
150,3,0.01,100,0.8,0.8437386569872958,1.0,0.0,0.0,0.0
150,3,0.01,100,0.9,0.8437386569872958,1.0,0.0,0.0,0.0
150,3,0.01,150,0.1,0.6042952208106473,0.27459505541346974,0.888888888888889,0.41702783650458064,0.3253335343950606
150,3,0.01,150,0.2,0.8715063520871145,0.5826923076923076,0.7333333333333334,0.6422882071488882,0.5767580523252877
150,3,0.01,150,0.30000000000000004,0.8891712038717483,0.725,0.5111111111111111,0.5845500629401558,0.5429744741798628
150,3,0.01,150,0.4,0.8889292196007259,0.96,0.3111111111111111,0.44259740259740254,0.49073077062364734
150,3,0.01,150,0.5,0.8679975801572898,1.0,0.15555555555555553,0.25272727272727274,0.32062424252110644
150,3,0.01,150,0.6,0.8540834845735027,1.0,0.06666666666666667,0.11272727272727275,0.1500032203651884
150,3,0.01,150,0.7000000000000001,0.8471869328493649,1.0,0.02222222222222222,0.04,0.06181150999636872
150,3,0.01,150,0.8,0.8437386569872958,1.0,0.0,0.0,0.0
150,3,0.01,150,0.9,0.8437386569872958,1.0,0.0,0.0,0.0
150,3,0.01,200,0.1,0.6705384150030248,0.31504383129770125,0.8666666666666666,0.45860405255754094,0.37241740433730997
150,3,0.01,200,0.2,0.8783424077434967,0.6050310800310801,0.711111111111111,0.6477480689245395,0.5824065481575336
150,3,0.01,200,0.30000000000000004,0.8889897156684816,0.7535353535353535,0.5333333333333333,0.5977777777777777,0.562120715663721
150,3,0.01,200,0.4,0.8820326678765881,0.86,0.3111111111111111,0.4314085914085914,0.45438011301214354
150,3,0.01,200,0.5,0.8784029038112523,1.0,0.22222222222222224,0.34853146853146855,0.426812240815558
150,3,0.01,200,0.6,0.8644888082274653,1.0,0.13333333333333333,0.21272727272727274,0.2589029025362697
150,3,0.01,200,0.7000000000000001,0.8471869328493649,1.0,0.02222222222222222,0.04,0.06181150999636872
150,3,0.01,200,0.8,0.8437386569872958,1.0,0.0,0.0,0.0
150,3,0.01,200,0.9,0.8437386569872958,1.0,0.0,0.0,0.0
150,3,0.1,100,0.1,0.878584392014519,0.6045299145299146,0.7555555555555555,0.6670873494672122,0.6034439639049036
150,3,0.1,100,0.2,0.9063520871143375,0.7415584415584415,0.6444444444444445,0.6816666666666666,0.6346686148291533
150,3,0.1,100,0.30000000000000004,0.9064125831820931,0.8372727272727273,0.5333333333333333,0.6296703296703297,0.6127297075193947
150,3,0.1,100,0.4,0.8958862673926195,0.8433333333333334,0.4222222222222222,0.5377132671250318,0.5381187359021139
150,3,0.1,100,0.5,0.8992135511191772,0.96,0.37777777777777777,0.5197402597402597,0.55305684224282
150,3,0.1,100,0.6,0.8852994555353902,0.96,0.28888888888888886,0.42281718281718284,0.474403765912474
150,3,0.1,100,0.7000000000000001,0.8818511796733212,1.0,0.2444444444444444,0.37580419580419583,0.44761038262935154
150,3,0.1,100,0.8,0.8679370840895342,1.0,0.15555555555555553,0.23580419580419582,0.2769236296090805
150,3,0.1,100,0.9,0.8575922565033272,1.0,0.08888888888888888,0.15272727272727274,0.21172456035002515
150,3,0.1,150,0.1,0.8856019358741681,0.63,0.7333333333333333,0.6719381574139953,0.6104592692217882
150,3,0.1,150,0.2,0.9133091349062312,0.7867965367965368,0.6444444444444445,0.6995098039215686,0.6599302422950974
150,3,0.1,150,0.30000000000000004,0.9098608590441621,0.8466666666666667,0.5555555555555556,0.6570117601696549,0.6341139812965251
150,3,0.1,150,0.4,0.9063520871143375,0.86,0.4888888888888888,0.6077698771816419,0.5975472401948574
150,3,0.1,150,0.5,0.8923774954627948,0.8433333333333334,0.4,0.517933047344812,0.5217840148091304
150,3,0.1,150,0.6,0.8888082274652147,0.96,0.31111111111111106,0.45554445554445555,0.5007595271377461
150,3,0.1,150,0.7000000000000001,0.8852994555353902,1.0,0.26666666666666666,0.3988811188811189,0.4656311097021624
150,3,0.1,150,0.8,0.8748941318814276,1.0,0.2,0.31580419580419583,0.400456479590286
150,3,0.1,150,0.9,0.8610405323653962,1.0,0.11111111111111112,0.18,0.2325227021638187
150,3,0.1,200,0.1,0.8925589836660617,0.6532478632478632,0.7333333333333333,0.6856588887548639,0.6268847889137694
150,3,0.1,200,0.2,0.9202056866303691,0.8082251082251082,0.6666666666666666,0.7233333333333334,0.6864948318782285
150,3,0.1,200,0.30000000000000004,0.9133091349062312,0.86,0.5555555555555556,0.6640293040293039,0.643049702514855
150,3,0.1,200,0.4,0.9063520871143375,0.86,0.4888888888888888,0.6077698771816419,0.5975472401948574
150,3,0.1,200,0.5,0.902843315184513,0.9099999999999999,0.4444444444444445,0.560916730328495,0.5755240249770525
150,3,0.1,200,0.6,0.8819116757410768,0.8933333333333333,0.31111111111111106,0.43913419913419915,0.46972290601457817
150,3,0.1,200,0.7000000000000001,0.8818511796733212,0.96,0.26666666666666666,0.3900899100899101,0.44802356554002304
150,3,0.1,200,0.8,0.8748941318814276,1.0,0.2,0.31580419580419583,0.400456479590286
150,3,0.1,200,0.9,0.8610405323653962,1.0,0.11111111111111112,0.18,0.2325227021638187
150,3,0.3,100,0.1,0.9133696309739866,0.7254545454545454,0.8,0.7514759725400457,0.7076614236157593
150,3,0.3,100,0.2,0.9133696309739866,0.7924242424242424,0.6444444444444445,0.702843137254902,0.6628589388446107
150,3,0.3,100,0.30000000000000004,0.9133091349062312,0.7966666666666666,0.6222222222222222,0.6901113076809671,0.6528549272891974
150,3,0.3,100,0.4,0.8958862673926195,0.7583333333333333,0.48888888888888893,0.584313725490196,0.5512267959601422
150,3,0.3,100,0.5,0.8888687235329703,0.8361904761904763,0.4,0.509029304029304,0.5084067204049632
150,3,0.3,100,0.6,0.8854204476709014,0.8228571428571427,0.37777777777777777,0.48807692307692313,0.48790330519802094
150,3,0.3,100,0.7000000000000001,0.8888082274652147,0.96,0.31111111111111106,0.4500899100899101,0.49519287549272856
150,3,0.3,100,0.8,0.8922565033272838,1.0,0.31111111111111106,0.4588811188811189,0.512800419654868
150,3,0.3,100,0.9,0.8679975801572898,1.0,0.15555555555555553,0.23580419580419582,0.2768991904619016
150,3,0.3,150,0.1,0.9133696309739866,0.7254545454545454,0.8,0.7514759725400457,0.7076614236157593
150,3,0.3,150,0.2,0.9133696309739866,0.7924242424242424,0.6444444444444445,0.702843137254902,0.6628589388446107
150,3,0.3,150,0.30000000000000004,0.9133091349062312,0.7966666666666666,0.6222222222222222,0.6901113076809671,0.6528549272891974
150,3,0.3,150,0.4,0.8993345432546885,0.7628571428571428,0.5333333333333333,0.6113157894736843,0.5780161616538646
150,3,0.3,150,0.5,0.8854204476709014,0.8183333333333334,0.4,0.5016763628528335,0.49779611073480445
150,3,0.3,150,0.6,0.8888687235329703,0.8361904761904763,0.4,0.509029304029304,0.5084067204049632
150,3,0.3,150,0.7000000000000001,0.8957652752571083,0.9666666666666666,0.3555555555555555,0.49221445221445226,0.5310582547802334
150,3,0.3,150,0.8,0.8922565033272838,1.0,0.31111111111111106,0.4588811188811189,0.512800419654868
150,3,0.3,150,0.9,0.8714458560193588,1.0,0.17777777777777776,0.26853146853146853,0.30327939083435257
150,3,0.3,200,0.1,0.9133696309739866,0.7254545454545454,0.8,0.7514759725400457,0.7076614236157593
150,3,0.3,200,0.2,0.9133696309739866,0.7924242424242424,0.6444444444444445,0.702843137254902,0.6628589388446107
150,3,0.3,200,0.30000000000000004,0.9133091349062312,0.7966666666666666,0.6222222222222222,0.6901113076809671,0.6528549272891974
150,3,0.3,200,0.4,0.8993345432546885,0.7628571428571428,0.5333333333333333,0.6113157894736843,0.5780161616538646
150,3,0.3,200,0.5,0.8854204476709014,0.8183333333333334,0.4,0.5016763628528335,0.49779611073480445
150,3,0.3,200,0.6,0.8888687235329703,0.8361904761904763,0.4,0.509029304029304,0.5084067204049632
150,3,0.3,200,0.7000000000000001,0.8957652752571083,0.9666666666666666,0.3555555555555555,0.49221445221445226,0.5310582547802334
150,3,0.3,200,0.8,0.8922565033272838,1.0,0.31111111111111106,0.4588811188811189,0.512800419654868
150,3,0.3,200,0.9,0.8714458560193588,1.0,0.17777777777777776,0.26853146853146853,0.30327939083435257
150,3,0.5,100,0.1,0.8784633998790078,0.6,0.6666666666666667,0.62279176201373,0.5584712937706219
150,3,0.5,100,0.2,0.8958257713248639,0.7078571428571429,0.6222222222222222,0.6436677099989794,0.5971231042112471
150,3,0.5,100,0.30000000000000004,0.8958257713248639,0.7301587301587301,0.5333333333333333,0.6027777777777777,0.5621353987930574
150,3,0.5,100,0.4,0.892377495462795,0.8,0.4666666666666667,0.5668449197860962,0.5458292549950912
150,3,0.5,100,0.5,0.8889292196007259,0.8266666666666665,0.4222222222222222,0.524593837535014,0.517784197532734
150,3,0.5,100,0.6,0.8888687235329703,0.86,0.4,0.5143374272786038,0.5175386322447559
150,3,0.5,100,0.7000000000000001,0.8854204476709014,0.8800000000000001,0.3333333333333333,0.4630769230769231,0.4824730239009517
150,3,0.5,100,0.8,0.8819116757410768,0.9,0.28888888888888886,0.4076923076923077,0.41472973791025625
150,3,0.5,100,0.9,0.8819116757410768,0.9333333333333332,0.26666666666666666,0.38974358974358975,0.41085501144239184
150,3,0.5,150,0.1,0.8784633998790078,0.6,0.6666666666666667,0.62279176201373,0.5584712937706219
150,3,0.5,150,0.2,0.8958257713248639,0.7078571428571429,0.6222222222222222,0.6436677099989794,0.5971231042112471
150,3,0.5,150,0.30000000000000004,0.8958257713248639,0.7301587301587301,0.5333333333333333,0.6027777777777777,0.5621353987930574
150,3,0.5,150,0.4,0.892377495462795,0.8,0.4666666666666667,0.5668449197860962,0.5458292549950912
150,3,0.5,150,0.5,0.8889292196007259,0.8266666666666665,0.4222222222222222,0.524593837535014,0.517784197532734
150,3,0.5,150,0.6,0.8888687235329703,0.86,0.4,0.5143374272786038,0.5175386322447559
150,3,0.5,150,0.7000000000000001,0.8854204476709014,0.8800000000000001,0.3333333333333333,0.4630769230769231,0.4824730239009517
150,3,0.5,150,0.8,0.8819116757410768,0.9,0.28888888888888886,0.4076923076923077,0.41472973791025625
150,3,0.5,150,0.9,0.8819116757410768,0.9333333333333332,0.26666666666666666,0.38974358974358975,0.41085501144239184
150,3,0.5,200,0.1,0.8784633998790078,0.6,0.6666666666666667,0.62279176201373,0.5584712937706219
150,3,0.5,200,0.2,0.8958257713248639,0.7078571428571429,0.6222222222222222,0.6436677099989794,0.5971231042112471
150,3,0.5,200,0.30000000000000004,0.8958257713248639,0.7301587301587301,0.5333333333333333,0.6027777777777777,0.5621353987930574
150,3,0.5,200,0.4,0.892377495462795,0.8,0.4666666666666667,0.5668449197860962,0.5458292549950912
150,3,0.5,200,0.5,0.8889292196007259,0.8266666666666665,0.4222222222222222,0.524593837535014,0.517784197532734
150,3,0.5,200,0.6,0.8888687235329703,0.86,0.4,0.5143374272786038,0.5175386322447559
150,3,0.5,200,0.7000000000000001,0.8854204476709014,0.8800000000000001,0.3333333333333333,0.4630769230769231,0.4824730239009517
150,3,0.5,200,0.8,0.8819116757410768,0.9,0.28888888888888886,0.4076923076923077,0.41472973791025625
150,3,0.5,200,0.9,0.8819116757410768,0.9333333333333332,0.26666666666666666,0.38974358974358975,0.41085501144239184
150,5,0.01,100,0.1,0.5000604960677556,0.22887955182072828,0.9111111111111111,0.36555735190482114,0.2499301096290389
150,5,0.01,100,0.2,0.8683605565638233,0.5873529411764705,0.6666666666666667,0.6141938556799238,0.5455683975635368
150,5,0.01,100,0.30000000000000004,0.8785238959467634,0.6461904761904762,0.42222222222222217,0.49492105933282404,0.45279447229064795
150,5,0.01,100,0.4,0.878584392014519,0.85,0.28888888888888886,0.39230769230769236,0.39126414362017337
150,5,0.01,100,0.5,0.8611010284331518,0.9333333333333332,0.13333333333333333,0.2193939393939394,0.27762144370075564
150,5,0.01,100,0.6,0.8506957047791893,1.0,0.04444444444444444,0.08,0.12353284998120548
150,5,0.01,100,0.7000000000000001,0.8437386569872958,1.0,0.0,0.0,0.0
150,5,0.01,100,0.8,0.8437386569872958,1.0,0.0,0.0,0.0
150,5,0.01,100,0.9,0.8437386569872958,1.0,0.0,0.0,0.0
150,5,0.01,150,0.1,0.6563218390804597,0.29450774612693653,0.8444444444444444,0.4356888725309778,0.34183716668840985
150,5,0.01,150,0.2,0.878584392014519,0.6170454545454545,0.711111111111111,0.6508235294117647,0.5881574956698348
150,5,0.01,150,0.30000000000000004,0.8889897156684816,0.7461904761904762,0.5111111111111111,0.5773809523809523,0.5465111640790756
150,5,0.01,150,0.4,0.8855414398064125,0.9199999999999999,0.31111111111111106,0.4487912087912088,0.48202636960956247
150,5,0.01,150,0.5,0.8680580762250454,0.9333333333333332,0.17777777777777776,0.2793939393939394,0.3247753467398212
150,5,0.01,150,0.6,0.8576527525710829,0.9,0.11111111111111112,0.18909090909090912,0.2476310068155625
150,5,0.01,150,0.7000000000000001,0.8506957047791893,1.0,0.04444444444444444,0.08,0.12353284998120548
150,5,0.01,150,0.8,0.8437386569872958,1.0,0.0,0.0,0.0
150,5,0.01,150,0.9,0.8437386569872958,1.0,0.0,0.0,0.0
150,5,0.01,200,0.1,0.7572292800967937,0.38010443307757885,0.8,0.5122331002331002,0.4274583866703464
150,5,0.01,200,0.2,0.8855414398064125,0.6351298701298701,0.6888888888888889,0.6517546103109436,0.5911550573766051
150,5,0.01,200,0.30000000000000004,0.895946763460375,0.7666666666666667,0.5555555555555556,0.6145098039215686,0.5840527651060258
150,5,0.01,200,0.4,0.8854809437386569,0.9199999999999999,0.31111111111111106,0.4487912087912088,0.4820250537578337
150,5,0.01,200,0.5,0.8715063520871145,0.95,0.2,0.305034965034965,0.34821410938392877
150,5,0.01,200,0.6,0.8645493042952207,0.9333333333333332,0.15555555555555553,0.24666666666666667,0.29841958551454917
150,5,0.01,200,0.7000000000000001,0.8541439806412583,1.0,0.06666666666666667,0.12000000000000002,0.1853443599775742
150,5,0.01,200,0.8,0.8437386569872958,1.0,0.0,0.0,0.0
150,5,0.01,200,0.9,0.8437386569872958,1.0,0.0,0.0,0.0
150,5,0.1,100,0.1,0.8786448880822746,0.607979797979798,0.7333333333333333,0.6588888888888889,0.5947300864610819
150,5,0.1,100,0.2,0.8993950393224439,0.7361904761904763,0.6,0.6471288515406163,0.6029121233641235
150,5,0.1,100,0.30000000000000004,0.8889897156684816,0.7366666666666666,0.4666666666666666,0.5519568151147098,0.5217494308565584
150,5,0.1,100,0.4,0.8924379915305505,0.8761904761904763,0.4,0.519978354978355,0.5298858779987539
150,5,0.1,100,0.5,0.8853599516031458,0.9199999999999999,0.31111111111111106,0.44675324675324674,0.4831519829756067
150,5,0.1,100,0.6,0.8818511796733212,0.96,0.26666666666666666,0.39974025974025973,0.45638303883966314
150,5,0.1,100,0.7000000000000001,0.8748941318814276,0.96,0.22222222222222224,0.3342857142857143,0.4036470772419401
150,5,0.1,100,0.8,0.8679975801572898,1.0,0.15555555555555553,0.25272727272727274,0.32062424252110644
150,5,0.1,100,0.9,0.8541439806412583,1.0,0.06666666666666667,0.12000000000000002,0.1853443599775742
150,5,0.1,150,0.1,0.8856019358741681,0.6352525252525252,0.7333333333333333,0.6733986928104575,0.6129027543128513
150,5,0.1,150,0.2,0.9029038112522686,0.7576190476190476,0.6,0.655952380952381,0.615191574036913
150,5,0.1,150,0.30000000000000004,0.8924379915305505,0.75,0.4666666666666666,0.558974358974359,0.5306851520748883
