pca__n_components,xgb__learning_rate,xgb__max_depth,xgb__n_estimators,fold,threshold,accuracy,precision,recall,f1,mcc
180,0.01,3,50,1,0.1,0.15517241379310345,0.15517241379310345,1.0,0.26865671641791045,0.0
180,0.01,3,50,1,0.2,0.896551724137931,0.7142857142857143,0.5555555555555556,0.625,0.5721006673984126
180,0.01,3,50,1,0.30000000000000004,0.8620689655172413,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.32993526681131213
180,0.01,3,50,1,0.4,0.8793103448275862,1.0,0.2222222222222222,0.36363636363636365,0.44095855184409843
180,0.01,3,50,1,0.5,0.8448275862068966,1.0,0.0,0.0,0.0
180,0.01,3,50,1,0.6,0.8448275862068966,1.0,0.0,0.0,0.0
180,0.01,3,50,1,0.7000000000000001,0.8448275862068966,1.0,0.0,0.0,0.0
180,0.01,3,50,1,0.8,0.8448275862068966,1.0,0.0,0.0,0.0
180,0.01,3,50,1,0.9,0.8448275862068966,1.0,0.0,0.0,0.0
180,0.01,3,50,2,0.1,0.15517241379310345,0.15517241379310345,1.0,0.26865671641791045,0.0
180,0.01,3,50,2,0.2,0.6896551724137931,0.23529411764705882,0.4444444444444444,0.3076923076923077,0.14249230358858822
180,0.01,3,50,2,0.30000000000000004,0.8275862068965517,0.4,0.2222222222222222,0.2857142857142857,0.20769025378671682
180,0.01,3,50,2,0.4,0.8620689655172413,1.0,0.1111111111111111,0.2,0.3090575499818436
180,0.01,3,50,2,0.5,0.8448275862068966,1.0,0.0,0.0,0.0
180,0.01,3,50,2,0.6,0.8448275862068966,1.0,0.0,0.0,0.0
180,0.01,3,50,2,0.7000000000000001,0.8448275862068966,1.0,0.0,0.0,0.0
180,0.01,3,50,2,0.8,0.8448275862068966,1.0,0.0,0.0,0.0
180,0.01,3,50,2,0.9,0.8448275862068966,1.0,0.0,0.0,0.0
180,0.01,3,50,3,0.1,0.15517241379310345,0.15517241379310345,1.0,0.26865671641791045,0.0
180,0.01,3,50,3,0.2,0.8448275862068966,0.5,0.5555555555555556,0.5263157894736842,0.4347004424644175
180,0.01,3,50,3,0.30000000000000004,0.8448275862068966,1.0,0.0,0.0,0.0
180,0.01,3,50,3,0.4,0.8448275862068966,1.0,0.0,0.0,0.0
180,0.01,3,50,3,0.5,0.8448275862068966,1.0,0.0,0.0,0.0
180,0.01,3,50,3,0.6,0.8448275862068966,1.0,0.0,0.0,0.0
180,0.01,3,50,3,0.7000000000000001,0.8448275862068966,1.0,0.0,0.0,0.0
180,0.01,3,50,3,0.8,0.8448275862068966,1.0,0.0,0.0,0.0
180,0.01,3,50,3,0.9,0.8448275862068966,1.0,0.0,0.0,0.0
180,0.01,3,50,4,0.1,0.15789473684210525,0.15789473684210525,1.0,0.2727272727272727,0.0
180,0.01,3,50,4,0.2,0.8421052631578947,0.5,0.7777777777777778,0.6086956521739131,0.5353311660685758
180,0.01,3,50,4,0.30000000000000004,0.8771929824561403,0.6666666666666666,0.4444444444444444,0.5333333333333333,0.47857131243872586
180,0.01,3,50,4,0.4,0.8596491228070176,1.0,0.1111111111111111,0.2,0.3086066999241838
180,0.01,3,50,4,0.5,0.8421052631578947,1.0,0.0,0.0,0.0
180,0.01,3,50,4,0.6,0.8421052631578947,1.0,0.0,0.0,0.0
180,0.01,3,50,4,0.7000000000000001,0.8421052631578947,1.0,0.0,0.0,0.0
180,0.01,3,50,4,0.8,0.8421052631578947,1.0,0.0,0.0,0.0
180,0.01,3,50,4,0.9,0.8421052631578947,1.0,0.0,0.0,0.0
180,0.01,3,50,5,0.1,0.15789473684210525,0.15789473684210525,1.0,0.2727272727272727,0.0
180,0.01,3,50,5,0.2,0.8771929824561403,0.5833333333333334,0.7777777777777778,0.6666666666666666,0.6024960939374433
180,0.01,3,50,5,0.30000000000000004,0.8596491228070176,0.6,0.3333333333333333,0.42857142857142855,0.37596030887070225
180,0.01,3,50,5,0.4,0.8421052631578947,1.0,0.0,0.0,0.0
180,0.01,3,50,5,0.5,0.8421052631578947,1.0,0.0,0.0,0.0
180,0.01,3,50,5,0.6,0.8421052631578947,1.0,0.0,0.0,0.0
180,0.01,3,50,5,0.7000000000000001,0.8421052631578947,1.0,0.0,0.0,0.0
180,0.01,3,50,5,0.8,0.8421052631578947,1.0,0.0,0.0,0.0
180,0.01,3,50,5,0.9,0.8421052631578947,1.0,0.0,0.0,0.0
180,0.01,3,100,1,0.1,0.4827586206896552,0.23076923076923078,1.0,0.375,0.2991353316223341
180,0.01,3,100,1,0.2,0.8620689655172413,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.47392290249433106
180,0.01,3,100,1,0.30000000000000004,0.896551724137931,0.8,0.4444444444444444,0.5714285714285714,0.5470151754664232
180,0.01,3,100,1,0.4,0.896551724137931,1.0,0.3333333333333333,0.5,0.5449492609130661
180,0.01,3,100,1,0.5,0.8793103448275862,1.0,0.2222222222222222,0.36363636363636365,0.44095855184409843
180,0.01,3,100,1,0.6,0.8620689655172413,1.0,0.1111111111111111,0.2,0.3090575499818436
180,0.01,3,100,1,0.7000000000000001,0.8448275862068966,1.0,0.0,0.0,0.0
180,0.01,3,100,1,0.8,0.8448275862068966,1.0,0.0,0.0,0.0
180,0.01,3,100,1,0.9,0.8448275862068966,1.0,0.0,0.0,0.0
180,0.01,3,100,2,0.1,0.29310344827586204,0.16666666666666666,0.8888888888888888,0.2807017543859649,0.06955207079430681
180,0.01,3,100,2,0.2,0.7758620689655172,0.3888888888888889,0.7777777777777778,0.5185185185185185,0.4330163384999593
180,0.01,3,100,2,0.30000000000000004,0.8275862068965517,0.42857142857142855,0.3333333333333333,0.375,0.27974966555605196
180,0.01,3,100,2,0.4,0.8793103448275862,1.0,0.2222222222222222,0.36363636363636365,0.44095855184409843
180,0.01,3,100,2,0.5,0.8620689655172413,1.0,0.1111111111111111,0.2,0.3090575499818436
180,0.01,3,100,2,0.6,0.8448275862068966,1.0,0.0,0.0,0.0
180,0.01,3,100,2,0.7000000000000001,0.8448275862068966,1.0,0.0,0.0,0.0
180,0.01,3,100,2,0.8,0.8448275862068966,1.0,0.0,0.0,0.0
180,0.01,3,100,2,0.9,0.8448275862068966,1.0,0.0,0.0,0.0
180,0.01,3,100,3,0.1,0.3620689655172414,0.1956521739130435,1.0,0.32727272727272727,0.21889453648082108
180,0.01,3,100,3,0.2,0.8793103448275862,0.6,0.6666666666666666,0.631578947368421,0.5607635707790987
180,0.01,3,100,3,0.30000000000000004,0.8448275862068966,0.5,0.2222222222222222,0.3076923076923077,0.25920526378657965
180,0.01,3,100,3,0.4,0.8620689655172413,1.0,0.1111111111111111,0.2,0.3090575499818436
180,0.01,3,100,3,0.5,0.8448275862068966,1.0,0.0,0.0,0.0
180,0.01,3,100,3,0.6,0.8448275862068966,1.0,0.0,0.0,0.0
180,0.01,3,100,3,0.7000000000000001,0.8448275862068966,1.0,0.0,0.0,0.0
180,0.01,3,100,3,0.8,0.8448275862068966,1.0,0.0,0.0,0.0
180,0.01,3,100,3,0.9,0.8448275862068966,1.0,0.0,0.0,0.0
180,0.01,3,100,4,0.1,0.43859649122807015,0.21951219512195122,1.0,0.36,0.2705008904002297
180,0.01,3,100,4,0.2,0.8596491228070176,0.5454545454545454,0.6666666666666666,0.6,0.5197435898685872
180,0.01,3,100,4,0.30000000000000004,0.9122807017543859,1.0,0.4444444444444444,0.6153846153846154,0.6344412685745152
180,0.01,3,100,4,0.4,0.8947368421052632,1.0,0.3333333333333333,0.5,0.5443310539518174
180,0.01,3,100,4,0.5,0.8421052631578947,1.0,0.0,0.0,0.0
180,0.01,3,100,4,0.6,0.8421052631578947,1.0,0.0,0.0,0.0
180,0.01,3,100,4,0.7000000000000001,0.8421052631578947,1.0,0.0,0.0,0.0
180,0.01,3,100,4,0.8,0.8421052631578947,1.0,0.0,0.0,0.0
180,0.01,3,100,4,0.9,0.8421052631578947,1.0,0.0,0.0,0.0
180,0.01,3,100,5,0.1,0.543859649122807,0.22580645161290322,0.7777777777777778,0.35,0.20336295869552104
180,0.01,3,100,5,0.2,0.9122807017543859,0.7,0.7777777777777778,0.7368421052631579,0.6857529381625583
180,0.01,3,100,5,0.30000000000000004,0.8596491228070176,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.328866678429223
180,0.01,3,100,5,0.4,0.8596491228070176,1.0,0.1111111111111111,0.2,0.3086066999241838
180,0.01,3,100,5,0.5,0.8421052631578947,1.0,0.0,0.0,0.0
180,0.01,3,100,5,0.6,0.8421052631578947,1.0,0.0,0.0,0.0
180,0.01,3,100,5,0.7000000000000001,0.8421052631578947,1.0,0.0,0.0,0.0
180,0.01,3,100,5,0.8,0.8421052631578947,1.0,0.0,0.0,0.0
180,0.01,3,100,5,0.9,0.8421052631578947,1.0,0.0,0.0,0.0
180,0.01,3,200,1,0.1,0.7241379310344828,0.3333333333333333,0.7777777777777778,0.4666666666666667,0.37070626838932386
180,0.01,3,200,1,0.2,0.8620689655172413,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.47392290249433106
180,0.01,3,200,1,0.30000000000000004,0.9137931034482759,0.8333333333333334,0.5555555555555556,0.6666666666666666,0.636231857281249
180,0.01,3,200,1,0.4,0.896551724137931,0.8,0.4444444444444444,0.5714285714285714,0.5470151754664232
180,0.01,3,200,1,0.5,0.896551724137931,1.0,0.3333333333333333,0.5,0.5449492609130661
180,0.01,3,200,1,0.6,0.8793103448275862,1.0,0.2222222222222222,0.36363636363636365,0.44095855184409843
180,0.01,3,200,1,0.7000000000000001,0.8620689655172413,1.0,0.1111111111111111,0.2,0.3090575499818436
180,0.01,3,200,1,0.8,0.8448275862068966,1.0,0.0,0.0,0.0
180,0.01,3,200,1,0.9,0.8448275862068966,1.0,0.0,0.0,0.0
180,0.01,3,200,2,0.1,0.46551724137931033,0.19444444444444445,0.7777777777777778,0.3111111111111111,0.13874967254888934
180,0.01,3,200,2,0.2,0.8448275862068966,0.5,0.7777777777777778,0.6086956521739131,0.5372153093502535
180,0.01,3,200,2,0.30000000000000004,0.8793103448275862,0.625,0.5555555555555556,0.5882352941176471,0.5190476190476191
180,0.01,3,200,2,0.4,0.8793103448275862,1.0,0.2222222222222222,0.36363636363636365,0.44095855184409843
180,0.01,3,200,2,0.5,0.8793103448275862,1.0,0.2222222222222222,0.36363636363636365,0.44095855184409843
180,0.01,3,200,2,0.6,0.8448275862068966,1.0,0.0,0.0,0.0
180,0.01,3,200,2,0.7000000000000001,0.8448275862068966,1.0,0.0,0.0,0.0
180,0.01,3,200,2,0.8,0.8448275862068966,1.0,0.0,0.0,0.0
180,0.01,3,200,2,0.9,0.8448275862068966,1.0,0.0,0.0,0.0
180,0.01,3,200,3,0.1,0.6551724137931034,0.2962962962962963,0.8888888888888888,0.4444444444444444,0.3637560706911492
180,0.01,3,200,3,0.2,0.9310344827586207,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7369614512471655
180,0.01,3,200,3,0.30000000000000004,0.8793103448275862,0.75,0.3333333333333333,0.46153846153846156,0.4471290800318499
180,0.01,3,200,3,0.4,0.8793103448275862,1.0,0.2222222222222222,0.36363636363636365,0.44095855184409843
180,0.01,3,200,3,0.5,0.8620689655172413,1.0,0.1111111111111111,0.2,0.3090575499818436
