Model,Fold,Accuracy,Precision,Recall,F1,MCC,Parameters
equal Decision Tree,3-fold,0.7342069892473119,0.7297385620915033,0.7458333333333332,0.7365591397849464,0.4704114570716786,"{'criterion': 'entropy', 'max_depth': '10', 'min_samples_split': 5, 'min_samples_leaf': 5, 'max_features': 'log2'}"
equal Decision Tree,5-fold,0.7438596491228071,0.7692568542568543,0.7244444444444443,0.7411111111111112,0.493685022221378,"{'criterion': 'entropy', 'max_depth': '10', 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt'}"
equal KNN,3-fold,0.7352150537634409,0.7962962962962963,0.6638888888888889,0.7095127095127095,0.4958594645956958,"{'n_neighbors': 3, 'metric': 'cosine', 'weights': 'uniform'}"
equal KNN,5-fold,0.7654970760233918,0.7883333333333333,0.7688888888888888,0.7691611381394663,0.5451708658765155,"{'n_neighbors': 3, 'metric': 'cosine', 'weights': 'distance'}"
equal Naive Bayes,3-fold,0.7664650537634409,0.8362193362193362,0.6625,0.7361795292829775,0.5476119146686137,{'alpha': 0.001}
equal Naive Bayes,5-fold,0.7976608187134502,0.8332323232323233,0.7688888888888888,0.7901754385964912,0.6091484245689142,{'alpha': 0.001}
equal Random Forest,3-fold,0.7775537634408601,0.7797619047619048,0.7680555555555556,0.7726254480286738,0.5565437132252979,"{'n_estimators': 100, 'max_depth': 50, 'min_samples_split': 2, 'min_samples_leaf': 1, 'criterion': 'entropy'}"
equal Random Forest,5-fold,0.8502923976608188,0.8733333333333334,0.8333333333333334,0.8475128998968009,0.7093582119063389,"{'n_estimators': 300, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'criterion': 'gini'}"
equal SVM,3-fold,0.7446236559139785,0.7971988795518207,0.6833333333333332,0.7252136752136752,0.5061493194049299,"{'C': 100.0, 'kernel': 'rbf'}"
equal SVM,5-fold,0.7228070175438596,0.7534632034632034,0.6822222222222222,0.7099346405228758,0.4554110902236776,"{'C': 100.0, 'kernel': 'rbf'}"
equal XGBoost,3-fold,0.766465053763441,0.7497151970836181,0.8527777777777779,0.7887601887601887,0.5571480543802798,"{'eta': 0.1, 'max_depth': 3.0, 'n_estimators': 50.0}"
equal XGBoost,5-fold,0.7549707602339182,0.7722222222222221,0.7688888888888888,0.7580126787557128,0.5303478232907222,"{'eta': 0.1, 'max_depth': 5.0, 'n_estimators': 100.0}"
not equal Decision Tree,3-fold,0.896963696369637,0.6804298642533938,0.6597222222222222,0.6671610431343468,0.6082714132962183,"{'criterion': 'entropy', 'max_depth': '30', 'min_samples_split': 5, 'min_samples_leaf': 5, 'max_features': 'None'}"
not equal Decision Tree,5-fold,0.8869398907103825,0.720952380952381,0.5088888888888888,0.5896727111897391,0.5413470660590934,"{'criterion': 'entropy', 'max_depth': '300', 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2'}"
not equal KNN,3-fold,0.8837623762376238,0.7428571428571429,0.386111111111111,0.5031884057971014,0.4790108392289163,"{'n_neighbors': 3, 'metric': 'cosine', 'weights': 'distance'}"
not equal KNN,5-fold,0.9004918032786886,0.8714285714285713,0.4288888888888889,0.5375401069518716,0.545645304763493,"{'n_neighbors': 5, 'metric': 'cosine', 'weights': 'distance'}"
not equal Naive Bayes,3-fold,0.916930693069307,0.7817460317460317,0.6611111111111111,0.7160493827160493,0.6711531333238984,{'alpha': 0.1}
not equal Naive Bayes,5-fold,0.9402185792349728,0.8664285714285713,0.7422222222222221,0.792923976608187,0.7656537497987174,{'alpha': 0.001}
not equal Random Forest,3-fold,0.8903960396039604,0.9027777777777778,0.3430555555555556,0.4877470355731225,0.5103247062305534,"{'n_estimators': 10, 'max_depth': 300, 'min_samples_split': 5, 'min_samples_leaf': 2, 'criterion': 'entropy'}"
not equal Random Forest,5-fold,0.8936612021857921,0.7795238095238095,0.4444444444444445,0.5635261797026503,0.5356066731629269,"{'n_estimators': 10, 'max_depth': 30, 'min_samples_split': 2, 'min_samples_leaf': 2, 'criterion': 'gini'}"
not equal SVM,3-fold,0.9035973597359735,0.794949494949495,0.5125000000000001,0.6215384615384615,0.5885928423705336,"{'C': 100.0, 'kernel': 'rbf'}"
not equal SVM,5-fold,0.910327868852459,0.831111111111111,0.5733333333333334,0.658546365914787,0.6351991480356738,"{'C': 0.01, 'kernel': 'linear'}"
not equal XGBoost,3-fold,0.8704290429042905,0.7018518518518518,0.3208333333333333,0.4342305037957212,0.4119443404593048,"{'eta': 0.3, 'max_depth': 7.0, 'n_estimators': 200.0}"
not equal XGBoost,5-fold,0.9070491803278689,0.858095238095238,0.4911111111111111,0.6125317819435467,0.5996625324232292,"{'eta': 0.3, 'max_depth': 5.0, 'n_estimators': 200.0}"
