kernel,C,dim,eps,storage,preparationTime,predictionTime,precision,recall
linear,0.1,0,0.1,7050653,0.6834030899994108,0.004363361709399143,0.4867364664744527,0.5016666666666666
linear,0.1,0,0.3,913613,0.27307199333372423,0.0017469371794908916,0.4503634478530381,0.4483333333333332
linear,0.1,0,0.5,395692,0.21877429000008616,0.001398766581197324,0.4178920248611661,0.42833333333333345
linear,0.1,100,0.1,157012,0.21714079333408629,0.001369217777788342,0.42896381722354265,0.48666666666666675
linear,0.1,100,0.3,157012,0.20786975333394367,0.0013173254700919858,0.43419295367639693,0.4533333333333333
linear,0.1,100,0.5,157012,0.20619762000096684,0.0012920984615471425,0.3884430871160916,0.4016666666666666
linear,0.1,200,0.1,313012,0.22607551000140422,0.0014452155555695323,0.4460906330934936,0.45499999999999996
linear,0.1,200,0.3,313012,0.2319753266673312,0.0014815213675319682,0.41669197929228446,0.4566666666666668
linear,0.1,200,0.5,313012,0.2308881000002657,0.0014766566666662392,0.4692052315624674,0.4883333333333333
rbf,0.1,0,0.1,7050653,0.6597663600002608,0.004488762649577214,0.5128205128205128,1.0
rbf,0.1,0,0.3,913613,0.2693223766662414,0.0017387047008496582,0.5128205128205128,1.0
rbf,0.1,0,0.5,395692,0.21962523333428774,0.0014145887179508394,0.5128205128205128,1.0
rbf,0.1,100,0.1,157012,0.211672910000319,0.0013616603418762307,0.5128205128205128,1.0
rbf,0.1,100,0.3,157012,0.20720817666642677,0.001332888717947326,0.5128205128205128,1.0
rbf,0.1,100,0.5,157012,0.2198664066667335,0.0014139985470114297,0.5128205128205128,1.0
rbf,0.1,200,0.1,313012,0.23853915999976974,0.001535086752136343,0.5128205128205128,1.0
rbf,0.1,200,0.3,313012,0.23440456000031798,0.0015082926495740383,0.5128205128205128,1.0
rbf,0.1,200,0.5,313012,0.23756226999927701,0.0015283310256346053,0.5128205128205128,1.0
poly,0.1,0,0.1,7050653,0.6505399033333864,0.004158108803418363,0.5018075768075768,0.9583333333333333
