n_neighbors,metric,weights,accuracy,precision,recall,f1,preparationTime
3,cosine,uniform,0.9075394506136762,0.9015490170207151,1.0,0.9480111404805639,0.0008582856164438241
3,cosine,distance,0.9075394506136762,0.9015490170207151,1.0,0.9480111404805639,0.0008582856164438241
5,cosine,uniform,0.8699590882524839,0.8658953418027828,1.0,0.9280832304708164,0.0008582856164438241
5,cosine,distance,0.8801285797779077,0.8751116427432217,1.0,0.933367198838897,0.0008582856164438241
7,cosine,uniform,0.8391583869082408,0.8567099657753016,0.9714285714285713,0.9101501759171752,0.0008582856164438241
7,cosine,distance,0.8801870251315019,0.8751116427432217,1.0,0.933367198838897,0.0008582856164438241
9,cosine,uniform,0.8492694330800701,0.8661042275876369,0.9714285714285713,0.915383799119722,0.0008582856164438241
9,cosine,distance,0.8801285797779077,0.8752232854864432,1.0,0.9334010643444607,0.0008582856164438241
11,cosine,uniform,0.8459964932787845,0.8606771577665793,0.9755102040816326,0.9140142671562437,0.0008582856164438241
11,cosine,distance,0.8801870251315019,0.8752232854864435,1.0,0.9334010643444606,0.0008582856164438241
15,cosine,uniform,0.856165984804208,0.8640257020086148,0.9836734693877551,0.9197574386156129,0.0008582856164438241
15,cosine,distance,0.883635300993571,0.8782934609250399,1.0,0.9351620706337688,0.0008582856164438241
20,cosine,uniform,0.8630625365283459,0.8623706209096408,0.9959183673469388,0.9242709421302262,0.0008582856164438241
20,cosine,distance,0.8733489187609585,0.868859649122807,1.0,0.9298113207547172,0.0008582856164438241
3,euclidean,uniform,0.9555230859146698,0.9505440046039381,1.0,0.9744077208406164,0.0008582856164438241
3,euclidean,distance,0.9555230859146698,0.9505440046039381,1.0,0.9744077208406164,0.0008582856164438241
5,euclidean,uniform,0.9109292811221508,0.924129976650344,0.9755102040816327,0.9484419306184012,0.0008582856164438241
5,euclidean,distance,0.9384570426651082,0.9325863765863766,1.0,0.9648514104584469,0.0008582856164438241
7,euclidean,uniform,0.8425482174167154,0.9022263115642908,0.9142857142857143,0.9058038447913621,0.0008582856164438241
7,euclidean,distance,0.9213325540619521,0.9150254860854196,1.0,0.9554060536836093,0.0008582856164438241
9,euclidean,uniform,0.8869082407948568,0.9164421595196345,0.9551020408163267,0.9325825242718448,0.0008582856164438241
9,euclidean,distance,0.9282291057860901,0.9217631823514176,1.0,0.9591034686739771,0.0008582856164438241
11,euclidean,uniform,0.9041496201052016,0.9140677092804752,0.9795918367346939,0.9448482008395015,0.0008582856164438241
11,euclidean,distance,0.9213909994155465,0.9150254860854196,1.0,0.9554060536836093,0.0008582856164438241
15,euclidean,uniform,0.8734073641145528,0.8844938517779994,0.9795918367346939,0.9287138047138047,0.0008582856164438241
15,euclidean,distance,0.8974284044418468,0.8920903553662175,1.0,0.9426564432981795,0.0008582856164438241
20,euclidean,uniform,0.8459964932787845,0.8601107959728649,0.9755102040816326,0.914051436269021,0.0008582856164438241
20,euclidean,distance,0.8699590882524839,0.8660069845460043,1.0,0.92811709597638,0.0008582856164438241
