Model,Fold,Accuracy,Precision,Recall,F1,MCC,Parameters
equal Decision Tree,3-fold,0.5638297872340425,0.5517241379310345,0.6808510638297872,0.6666666666666666,0.1313064328597225,"{'criterion': 'entropy', 'max_depth': 100, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'threshold': 0.1}"
equal Decision Tree,5-fold,0.4787234042553192,0.4871794871794871,0.8085106382978723,0.6771653543307087,-0.0566138517072297,"{'criterion': 'entropy', 'max_depth': 100, 'min_samples_split': 2, 'min_samples_leaf': 10, 'max_features': 'log2', 'threshold': 0.2}"
equal KNN,3-fold,0.7352150537634409,0.7962962962962963,0.6638888888888889,0.7095127095127095,0.4958594645956958,"{'n_neighbors': 3, 'metric': 'cosine', 'weights': 'uniform'}"
equal KNN,5-fold,0.7654970760233918,0.7883333333333333,0.7688888888888888,0.7691611381394663,0.5451708658765155,"{'n_neighbors': 3, 'metric': 'cosine', 'weights': 'distance'}"
equal Naive Bayes,3-fold,0.7664650537634409,0.8362193362193362,0.6625,0.7361795292829775,0.5476119146686137,{'alpha': 0.001}
equal Naive Bayes,5-fold,0.7976608187134502,0.8332323232323233,0.7688888888888888,0.7901754385964912,0.6091484245689142,{'alpha': 0.001}
equal Random Forest,3-fold,0.7775537634408601,0.7797619047619048,0.7680555555555556,0.7726254480286738,0.5565437132252979,"{'n_estimators': 100, 'max_depth': 50, 'min_samples_split': 2, 'min_samples_leaf': 1, 'criterion': 'entropy'}"
equal Random Forest,5-fold,0.8502923976608188,0.8733333333333334,0.8333333333333334,0.8475128998968009,0.7093582119063389,"{'n_estimators': 300, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'criterion': 'gini'}"
equal SVM,3-fold,0.7446236559139785,0.7971988795518207,0.6833333333333332,0.7252136752136752,0.5061493194049299,"{'C': 100.0, 'kernel': 'rbf'}"
equal SVM,5-fold,0.7228070175438596,0.7534632034632034,0.6822222222222222,0.7099346405228758,0.4554110902236776,"{'C': 100.0, 'kernel': 'rbf'}"
equal XGBoost,3-fold,0.7340425531914894,0.7037037037037037,0.8085106382978723,0.7524752475247525,0.4733646312031287,"{'learning_rate': 0.1, 'max_depth': 5.0, 'n_estimators': 200.0, 'threshold': 0.3}"
equal XGBoost,5-fold,0.776595744680851,0.782608695652174,0.7659574468085106,0.7741935483870968,0.5533167449931866,"{'learning_rate': 0.1, 'max_depth': 3.0, 'n_estimators': 50.0, 'threshold': 0.5}"
not equal Decision Tree,3-fold,0.8106312292358804,0.391304347826087,0.3829787234042553,0.425531914893617,0.275150054317571,"{'criterion': 'entropy', 'max_depth': 100, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'threshold': 0.5}"
not equal Decision Tree,5-fold,0.7408637873754153,0.2816901408450704,0.425531914893617,0.4504504504504504,0.1921594703557973,"{'criterion': 'entropy', 'max_depth': 50, 'min_samples_split': 5, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'threshold': 0.3}"
not equal KNN,3-fold,0.8837623762376238,0.7428571428571429,0.386111111111111,0.5031884057971014,0.4790108392289163,"{'n_neighbors': 3, 'metric': 'cosine', 'weights': 'distance'}"
not equal KNN,5-fold,0.9004918032786886,0.8714285714285713,0.4288888888888889,0.5375401069518716,0.545645304763493,"{'n_neighbors': 5, 'metric': 'cosine', 'weights': 'distance'}"
not equal Naive Bayes,3-fold,0.916930693069307,0.7817460317460317,0.6611111111111111,0.7160493827160493,0.6711531333238984,{'alpha': 0.1}
not equal Naive Bayes,5-fold,0.9402185792349728,0.8664285714285713,0.7422222222222221,0.792923976608187,0.7656537497987174,{'alpha': 0.001}
not equal Random Forest,3-fold,0.8903960396039604,0.9027777777777778,0.3430555555555556,0.4877470355731225,0.5103247062305534,"{'n_estimators': 10, 'max_depth': 300, 'min_samples_split': 5, 'min_samples_leaf': 2, 'criterion': 'entropy'}"
not equal Random Forest,5-fold,0.8936612021857921,0.7795238095238095,0.4444444444444445,0.5635261797026503,0.5356066731629269,"{'n_estimators': 10, 'max_depth': 30, 'min_samples_split': 2, 'min_samples_leaf': 2, 'criterion': 'gini'}"
not equal SVM,3-fold,0.9035973597359735,0.794949494949495,0.5125000000000001,0.6215384615384615,0.5885928423705336,"{'C': 100.0, 'kernel': 'rbf'}"
not equal SVM,5-fold,0.910327868852459,0.831111111111111,0.5733333333333334,0.658546365914787,0.6351991480356738,"{'C': 0.01, 'kernel': 'linear'}"
not equal XGBoost,3-fold,0.9003322259136213,0.9047619047619048,0.4042553191489361,0.5588235294117647,0.5647942747026731,"{'learning_rate': 0.1, 'max_depth': 5.0, 'n_estimators': 200.0, 'threshold': 0.5}"
not equal XGBoost,5-fold,0.8970099667774086,0.6538461538461539,0.723404255319149,0.6868686868686869,0.6265710501456118,"{'learning_rate': 0.3, 'max_depth': 3.0, 'n_estimators': 100.0, 'threshold': 0.1}"
