criterion,max_depth,min_samples_split,min_samples_leaf,max_features,accuracy,precision,recall,f1,mcc,preparationTime
gini,None,2,1,None,0.67953216374269,0.7059523809523809,0.6644444444444444,0.6658730158730158,0.3878220164826115,0.001250237148927594
gini,None,5,1,None,0.6695906432748538,0.7116666666666667,0.6199999999999999,0.6464745196324143,0.36429407123290847,0.001250237148927594
gini,None,10,1,None,0.6380116959064328,0.6724747474747474,0.6199999999999999,0.6329102167182662,0.294852458857201,0.001250237148927594
gini,None,2,2,None,0.7128654970760234,0.7597402597402598,0.6666666666666666,0.6898319327731092,0.4573011504108694,0.001250237148927594
gini,None,5,2,None,0.6485380116959065,0.6939393939393939,0.5822222222222223,0.6073809523809522,0.33098757835752307,0.001250237148927594
gini,None,10,2,None,0.6380116959064328,0.7083838383838383,0.5555555555555556,0.5972199730094466,0.3076953524755316,0.001250237148927594
gini,None,2,5,None,0.5748538011695906,0.6158369408369408,0.48888888888888893,0.5299547511312217,0.16726658679622747,0.001250237148927594
gini,None,5,5,None,0.6064327485380117,0.6386507936507936,0.5311111111111112,0.5741589267285861,0.22428228279469944,0.001250237148927594
gini,None,10,5,None,0.6058479532163743,0.653888888888889,0.508888888888889,0.5620300751879699,0.22963983959032394,0.001250237148927594
gini,None,2,10,None,0.6368421052631579,0.6727716727716728,0.6177777777777778,0.6299043062200956,0.2909020771387769,0.001250237148927594
gini,None,5,10,None,0.6263157894736842,0.6394383394383395,0.6377777777777777,0.6312200956937798,0.26068867516750976,0.001250237148927594
gini,None,10,10,None,0.6263157894736842,0.6394383394383395,0.6377777777777777,0.6312200956937798,0.26068867516750976,0.001250237148927594
gini,None,2,1,sqrt,0.6900584795321636,0.6748717948717948,0.7177777777777778,0.6810239036325993,0.3951116038967203,0.001250237148927594
gini,None,5,1,sqrt,0.5748538011695906,0.5930097680097679,0.5533333333333333,0.5671639670360898,0.14909321076796933,0.001250237148927594
gini,None,10,1,sqrt,0.6801169590643276,0.6490476190476191,0.72,0.678198906356801,0.36499636437711647,0.001250237148927594
gini,None,2,2,sqrt,0.5631578947368421,0.5701298701298702,0.5577777777777777,0.5582318541451669,0.13391478102436363,0.001250237148927594
gini,None,5,2,sqrt,0.5619883040935673,0.5541880341880343,0.508888888888889,0.5169082125603864,0.127457425201997,0.001250237148927594
gini,None,10,2,sqrt,0.5941520467836258,0.6276190476190475,0.4866666666666667,0.5369187675070027,0.2002245336806386,0.001250237148927594
gini,None,2,5,sqrt,0.6485380116959064,0.6678210678210678,0.5977777777777777,0.6237082903336774,0.3057628675002234,0.001250237148927594
gini,None,5,5,sqrt,0.6596491228070176,0.7136363636363636,0.6444444444444444,0.6476190476190476,0.3528845642019402,0.001250237148927594
gini,None,10,5,sqrt,0.6391812865497076,0.6344444444444445,0.6555555555555554,0.6430052850486287,0.27860526765206495,0.001250237148927594
gini,None,2,10,sqrt,0.5105263157894736,0.5066666666666666,0.54,0.4997783461210571,0.04780495194168015,0.001250237148927594
gini,None,5,10,sqrt,0.575438596491228,0.6038095238095238,0.5288888888888889,0.5486946778711485,0.13804398910486523,0.001250237148927594
gini,None,10,10,sqrt,0.5842105263157895,0.5948412698412698,0.5311111111111112,0.5534188412206988,0.17484683405143162,0.001250237148927594
gini,None,2,1,log2,0.6263157894736842,0.6561904761904762,0.5755555555555556,0.5984313725490196,0.2679388475150929,0.001250237148927594
gini,None,5,1,log2,0.6263157894736843,0.6688034188034189,0.6422222222222221,0.6379980700414137,0.27259256246516606,0.001250237148927594
gini,None,10,1,log2,0.6485380116959065,0.6547435897435897,0.6377777777777777,0.6360840604184257,0.3074498522841547,0.001250237148927594
gini,None,2,2,log2,0.6807017543859648,0.6843434343434344,0.6155555555555555,0.6355735492577598,0.3631834928760806,0.001250237148927594
gini,None,5,2,log2,0.7017543859649122,0.7158730158730158,0.6799999999999999,0.6929893360853113,0.4100985042591009,0.001250237148927594
gini,None,10,2,log2,0.6491228070175439,0.6767965367965367,0.5777777777777777,0.610015479876161,0.3121452487548627,0.001250237148927594
gini,None,2,5,log2,0.6590643274853801,0.7115584415584415,0.5977777777777777,0.6329824561403509,0.3408321778492675,0.001250237148927594
gini,None,5,5,log2,0.6263157894736842,0.6057342657342657,0.6977777777777778,0.6449251004749726,0.26141299505140364,0.001250237148927594
gini,None,10,5,log2,0.6619883040935672,0.6711111111111111,0.6444444444444444,0.6504093567251462,0.3315261266154364,0.001250237148927594
gini,None,2,10,log2,0.5953216374269006,0.6140909090909091,0.5155555555555555,0.5441938178780283,0.20542083079348541,0.001250237148927594
gini,None,5,10,log2,0.6157894736842104,0.6229870129870131,0.5755555555555556,0.580546218487395,0.24831495438549522,0.001250237148927594
gini,None,10,10,log2,0.6578947368421052,0.7333333333333333,0.5777777777777777,0.6302631578947367,0.34360274387403533,0.001250237148927594
gini,10,2,1,None,0.6801169590643276,0.7161505161505162,0.6444444444444445,0.6562388591800357,0.3924978182661548,0.001250237148927594
gini,10,5,1,None,0.6801169590643276,0.7202380952380951,0.6666666666666666,0.6600138026224982,0.40883874437801354,0.001250237148927594
gini,10,10,1,None,0.6485380116959064,0.6942857142857142,0.6022222222222222,0.6274509803921567,0.32080090152849994,0.001250237148927594
gini,10,2,2,None,0.6801169590643276,0.7264069264069264,0.6244444444444444,0.646498599439776,0.3946493629074365,0.001250237148927594
gini,10,5,2,None,0.6807017543859649,0.705050505050505,0.6866666666666666,0.6809774436090226,0.38429738822092174,0.001250237148927594
gini,10,10,2,None,0.6596491228070175,0.7278571428571429,0.5800000000000001,0.6240810359231411,0.3489548175991609,0.001250237148927594
gini,10,2,5,None,0.5426900584795321,0.5571428571428572,0.5111111111111111,0.5260848198928694,0.09409888975730421,0.001250237148927594
gini,10,5,5,None,0.5847953216374269,0.6372655122655123,0.5111111111111111,0.5533333333333333,0.19249033232990884,0.001250237148927594
gini,10,10,5,None,0.5853801169590643,0.663888888888889,0.48888888888888893,0.53992673992674,0.20324178348415112,0.001250237148927594
gini,10,2,10,None,0.6368421052631579,0.6727716727716728,0.6177777777777778,0.6299043062200956,0.2909020771387769,0.001250237148927594
gini,10,5,10,None,0.6263157894736842,0.6394383394383395,0.6377777777777777,0.6312200956937798,0.26068867516750976,0.001250237148927594
gini,10,10,10,None,0.6263157894736842,0.6394383394383395,0.6377777777777777,0.6312200956937798,0.26068867516750976,0.001250237148927594
gini,10,2,1,sqrt,0.5964912280701754,0.5995238095238096,0.6022222222222222,0.5945906432748538,0.20133692209924683,0.001250237148927594
gini,10,5,1,sqrt,0.6906432748538012,0.6677272727272727,0.7422222222222222,0.7009325452669105,0.38616313646221734,0.001250237148927594
gini,10,10,1,sqrt,0.6590643274853801,0.6583766233766233,0.7244444444444443,0.6810017798118485,0.3363871703632634,0.001250237148927594
gini,10,2,2,sqrt,0.6058479532163743,0.6227777777777778,0.5266666666666666,0.55953216374269,0.217257177746023,0.001250237148927594
gini,10,5,2,sqrt,0.7017543859649122,0.735,0.6555555555555556,0.6824728487886382,0.4157517053442533,0.001250237148927594
gini,10,10,2,sqrt,0.6263157894736843,0.6211111111111112,0.6555555555555556,0.6369803296119085,0.24990284090483533,0.001250237148927594
gini,10,2,5,sqrt,0.6812865497076024,0.6872222222222222,0.6599999999999999,0.6720330237358101,0.36335359744439566,0.001250237148927594
gini,10,5,5,sqrt,0.5748538011695906,0.59,0.4822222222222221,0.5196536796536797,0.1455527106761821,0.001250237148927594
gini,10,10,5,sqrt,0.5736842105263158,0.5928571428571429,0.5088888888888888,0.5325188536953244,0.15863544264801582,0.001250237148927594
gini,10,2,10,sqrt,0.660233918128655,0.6563492063492063,0.6777777777777778,0.661936704506364,0.3253331546330097,0.001250237148927594
gini,10,5,10,sqrt,0.5836257309941519,0.5746031746031747,0.6333333333333334,0.5927514865595361,0.18618382102400788,0.001250237148927594
