fold,threshold,accuracy,precision,recall,f1,mcc
1,0.1,0.75,0.6666666666666666,1.0,0.8,0.5773502691896258
1,0.2,0.71875,0.6521739130434783,0.9375,0.7692307692307693,0.4865336327998411
1,0.30000000000000004,0.75,0.6818181818181818,0.9375,0.7894736842105263,0.5393598899705937
1,0.4,0.625,0.625,0.625,0.625,0.25
1,0.5,0.65625,0.6666666666666666,0.625,0.6451612903225806,0.31311214554257477
1,0.6,0.625,0.6428571428571429,0.5625,0.6,0.2519763153394848
1,0.7000000000000001,0.59375,0.6153846153846154,0.5,0.5517241379310345,0.19088542889273333
1,0.8,0.65625,0.7272727272727273,0.5,0.5925925925925926,0.3289758474798845
1,0.9,0.65625,0.8571428571428571,0.375,0.5217391304347826,0.37796447300922725
2,0.1,0.5161290322580645,0.5172413793103449,0.9375,0.6666666666666666,0.008475793795260131
2,0.2,0.6129032258064516,0.5769230769230769,0.9375,0.7142857142857143,0.277407873365426
2,0.30000000000000004,0.7096774193548387,0.6521739130434783,0.9375,0.7692307692307693,0.46159086124879656
2,0.4,0.6451612903225806,0.631578947368421,0.75,0.6857142857142857,0.290693866424127
2,0.5,0.7096774193548387,0.7333333333333333,0.6875,0.7096774193548387,0.42083333333333334
2,0.6,0.6774193548387096,0.7142857142857143,0.625,0.6666666666666666,0.3598357857649609
2,0.7000000000000001,0.7096774193548387,0.8181818181818182,0.5625,0.6666666666666666,0.44824996408592194
2,0.8,0.6774193548387096,0.8,0.5,0.6153846153846154,0.3919831548048891
2,0.9,0.6129032258064516,0.75,0.375,0.5,0.27600278301474435
3,0.1,0.6774193548387096,0.6086956521739131,0.9333333333333333,0.7368421052631579,0.4235215118674525
3,0.2,0.6451612903225806,0.5909090909090909,0.8666666666666667,0.7027027027027027,0.334876478559268
3,0.30000000000000004,0.6129032258064516,0.5789473684210527,0.7333333333333333,0.6470588235294118,0.2393949488198693
3,0.4,0.6129032258064516,0.5882352941176471,0.6666666666666666,0.625,0.23012753740782382
3,0.5,0.5806451612903226,0.5714285714285714,0.5333333333333333,0.5517241379310345,0.15899720766358738
3,0.6,0.5806451612903226,0.5714285714285714,0.5333333333333333,0.5517241379310345,0.15899720766358738
3,0.7000000000000001,0.6451612903225806,0.6666666666666666,0.5333333333333333,0.5925925925925926,0.290693866424127
3,0.8,0.6129032258064516,0.6363636363636364,0.4666666666666667,0.5384615384615384,0.2263009527424072
3,0.9,0.6774193548387096,0.8571428571428571,0.4,0.5454545454545454,0.4033896556503579
