criterion,max_depth,min_samples_split,min_samples_leaf,max_features,accuracy,precision,recall,f1,mcc,preparationTime
gini,None,2,1,None,0.8239603960396039,0.44285714285714284,0.3194444444444444,0.3599168157856556,0.2727596550172135,0.0008943952092993889
gini,None,5,1,None,0.8105280528052804,0.4106753812636166,0.29583333333333334,0.33869047619047615,0.23879464609667286,0.0008943952092993889
gini,None,10,1,None,0.8172607260726071,0.3886483886483887,0.2736111111111111,0.317948717948718,0.22248357897091817,0.0008943952092993889
gini,None,2,2,None,0.8072607260726072,0.3905423280423281,0.29583333333333334,0.3311827956989248,0.22731948662139556,0.0008943952092993889
gini,None,5,2,None,0.8005940594059405,0.37969924812030076,0.2972222222222222,0.32287581699346407,0.21746121381170525,0.0008943952092993889
gini,None,10,2,None,0.8039273927392738,0.38359788359788355,0.31805555555555554,0.3423465423465424,0.233570244477585,0.0008943952092993889
gini,None,2,5,None,0.8371617161716172,0.5216165413533834,0.3430555555555556,0.3920858198351804,0.32632099661271646,0.0008943952092993889
gini,None,5,5,None,0.8371617161716172,0.5216165413533834,0.3430555555555556,0.3920858198351804,0.32632099661271646,0.0008943952092993889
gini,None,10,5,None,0.827161716171617,0.46479835953520166,0.3430555555555556,0.3766537210697483,0.2957976145142405,0.0008943952092993889
gini,None,2,10,None,0.7974917491749176,0.35695006747638325,0.2347222222222222,0.2571428571428571,0.16603574520125972,0.0008943952092993889
gini,None,5,10,None,0.7974917491749176,0.35695006747638325,0.2347222222222222,0.2571428571428571,0.16603574520125972,0.0008943952092993889
gini,None,10,10,None,0.7974917491749176,0.35695006747638325,0.2347222222222222,0.2571428571428571,0.16603574520125972,0.0008943952092993889
gini,None,2,1,sqrt,0.7706270627062706,0.33535762483130904,0.4458333333333333,0.3811391223155929,0.24924094981446634,0.0008943952092993889
gini,None,5,1,sqrt,0.7937623762376238,0.4166666666666667,0.3625,0.37236559139784947,0.2614886898631448,0.0008943952092993889
gini,None,10,1,sqrt,0.793894389438944,0.3277777777777778,0.3430555555555556,0.3314900153609831,0.21311568866633782,0.0008943952092993889
gini,None,2,2,sqrt,0.7805610561056104,0.2838947544829898,0.2125,0.238132183908046,0.11772772101878404,0.0008943952092993889
gini,None,5,2,sqrt,0.814026402640264,0.3954248366013072,0.3416666666666666,0.3645983645983646,0.25874197842472557,0.0008943952092993889
gini,None,10,2,sqrt,0.8305940594059406,0.4326923076923077,0.32083333333333336,0.3641215106732348,0.27639444900056453,0.0008943952092993889
gini,None,2,5,sqrt,0.8437953795379537,0.5333333333333333,0.3625,0.4217673007995589,0.34998192667911826,0.0008943952092993889
gini,None,5,5,sqrt,0.814059405940594,0.36520146520146524,0.2986111111111111,0.3271441202475685,0.22362376278280469,0.0008943952092993889
gini,None,10,5,sqrt,0.8006930693069307,0.34279446044151934,0.3,0.31794131794131797,0.20409312746450156,0.0008943952092993889
gini,None,2,10,sqrt,0.8039273927392738,0.33535353535353535,0.2569444444444444,0.28774928774928776,0.18103944956829485,0.0008943952092993889
gini,None,5,10,sqrt,0.8138613861386138,0.5198412698412699,0.24305555555555555,0.19992567818654772,0.13561514557212276,0.0008943952092993889
gini,None,10,10,sqrt,0.8271947194719472,0.4833333333333334,0.28055555555555556,0.3194805194805195,0.2635020925923737,0.0008943952092993889
gini,None,2,1,log2,0.8404950495049505,0.508994708994709,0.32083333333333336,0.3826086956521739,0.31406775404201226,0.0008943952092993889
gini,None,5,1,log2,0.793993399339934,0.3200280112044818,0.3,0.3075396825396825,0.18873415874851518,0.0008943952092993889
gini,None,10,1,log2,0.8338283828382839,0.4484848484848485,0.27638888888888885,0.34101325405673233,0.2623057763742643,0.0008943952092993889
gini,None,2,2,log2,0.8239273927392738,0.38047138047138046,0.21388888888888888,0.26983682983682983,0.19157898844874166,0.0008943952092993889
gini,None,5,2,log2,0.7741254125412542,0.26746031746031745,0.25555555555555554,0.2613088616981832,0.12813350665466658,0.0008943952092993889
gini,None,10,2,log2,0.7838613861386138,0.32106782106782106,0.27638888888888885,0.291005291005291,0.17001999681154245,0.0008943952092993889
gini,None,2,5,log2,0.8206930693069308,0.3796296296296296,0.2347222222222222,0.2883229813664596,0.20074520392384368,0.0008943952092993889
gini,None,5,5,log2,0.8305610561056106,0.44252044252044254,0.33749999999999997,0.3712286261305869,0.28703084258330525,0.0008943952092993889
gini,None,10,5,log2,0.8105610561056106,0.3879551820728291,0.2125,0.2630026977853065,0.18083281953226282,0.0008943952092993889
gini,None,2,10,log2,0.8237953795379539,0.42676767676767674,0.28194444444444444,0.2986895986895987,0.23922659581952224,0.0008943952092993889
gini,None,5,10,log2,0.8338283828382838,0.3212121212121212,0.15138888888888888,0.1978021978021978,0.14749332181988872,0.0008943952092993889
gini,None,10,10,log2,0.813927392739274,0.25833333333333336,0.10694444444444444,0.15,0.07477756070236817,0.0008943952092993889
gini,10,2,1,None,0.814026402640264,0.4139433551198257,0.34027777777777773,0.3656565656565656,0.26489167810393194,0.0008943952092993889
gini,10,5,1,None,0.8206270627062707,0.42108262108262107,0.31805555555555554,0.35760368663594466,0.26211845359619745,0.0008943952092993889
gini,10,10,1,None,0.8204950495049506,0.44310373722138435,0.33888888888888885,0.3775862068965517,0.2824928630392049,0.0008943952092993889
gini,10,2,2,None,0.8172937293729373,0.44285714285714284,0.29583333333333334,0.3429253115377795,0.25458842613918525,0.0008943952092993889
gini,10,5,2,None,0.8405280528052805,0.48148148148148145,0.2972222222222222,0.36507936507936506,0.2921084395503349,0.0008943952092993889
gini,10,10,2,None,0.8005940594059405,0.3888888888888889,0.34027777777777773,0.3541310541310542,0.2443827392043458,0.0008943952092993889
gini,10,2,5,None,0.8338283828382839,0.5154761904761904,0.3430555555555556,0.38816425120772946,0.3209195151870494,0.0008943952092993889
gini,10,5,5,None,0.827161716171617,0.46479835953520166,0.3430555555555556,0.3766537210697483,0.2957976145142405,0.0008943952092993889
gini,10,10,5,None,0.8371617161716172,0.5216165413533834,0.3430555555555556,0.3920858198351804,0.32632099661271646,0.0008943952092993889
gini,10,2,10,None,0.7974917491749176,0.35695006747638325,0.2347222222222222,0.2571428571428571,0.16603574520125972,0.0008943952092993889
gini,10,5,10,None,0.7974917491749176,0.35695006747638325,0.2347222222222222,0.2571428571428571,0.16603574520125972,0.0008943952092993889
gini,10,10,10,None,0.7974917491749176,0.35695006747638325,0.2347222222222222,0.2571428571428571,0.16603574520125972,0.0008943952092993889
gini,10,2,1,sqrt,0.8438613861386138,0.49259259259259264,0.4069444444444444,0.43999999999999995,0.3567546663267965,0.0008943952092993889
gini,10,5,1,sqrt,0.8437953795379537,0.5055555555555556,0.3194444444444444,0.3884140550807218,0.3167237017902839,0.0008943952092993889
gini,10,10,1,sqrt,0.8270957095709571,0.4358974358974359,0.31805555555555554,0.36684303350970016,0.2745385402781162,0.0008943952092993889
gini,10,2,2,sqrt,0.833960396039604,0.48148148148148145,0.32222222222222224,0.38197132616487456,0.3004529571329531,0.0008943952092993889
gini,10,5,2,sqrt,0.8206270627062707,0.3968253968253968,0.3,0.3392592592592592,0.24292145874904833,0.0008943952092993889
gini,10,10,2,sqrt,0.8270957095709571,0.4444444444444444,0.27777777777777773,0.3409523809523809,0.25627202042220604,0.0008943952092993889
gini,10,2,5,sqrt,0.8238613861386138,0.4259259259259259,0.2972222222222222,0.3468431210366694,0.2560216894220528,0.0008943952092993889
gini,10,5,5,sqrt,0.8173267326732674,0.36904761904761907,0.2569444444444444,0.298703212496316,0.2055897032880274,0.0008943952092993889
gini,10,10,5,sqrt,0.7938613861386138,0.31666666666666665,0.1708333333333333,0.2052568697729988,0.11307542962860834,0.0008943952092993889
gini,10,2,10,sqrt,0.8206600660066007,0.26666666666666666,0.17361111111111108,0.21025641025641026,0.12617377029432425,0.0008943952092993889
gini,10,5,10,sqrt,0.793993399339934,0.32819794584500467,0.2986111111111111,0.31119072498382844,0.1918445291551668,0.0008943952092993889
gini,10,10,10,sqrt,0.7775247524752475,0.09722222222222221,0.04305555555555555,0.059523809523809514,-0.05339455698673693,0.0008943952092993889
gini,10,2,1,log2,0.8105280528052804,0.40299277605779155,0.4083333333333334,0.4001358119005178,0.29183356187649107,0.0008943952092993889
gini,10,5,1,log2,0.8008250825082509,0.35555555555555557,0.3458333333333334,0.35053763440860214,0.23306733255460998,0.0008943952092993889
gini,10,10,1,log2,0.7971947194719472,0.37662337662337664,0.3194444444444444,0.33131679774148015,0.22391482962517592,0.0008943952092993889
gini,10,2,2,log2,0.813927392739274,0.36507936507936506,0.27499999999999997,0.3119047619047619,0.21095582973532526,0.0008943952092993889
gini,10,5,2,log2,0.8305940594059406,0.4428571428571429,0.2972222222222222,0.35111111111111115,0.26788912769719764,0.0008943952092993889
gini,10,10,2,log2,0.8106930693069306,0.36392496392496393,0.31805555555555554,0.338071107815268,0.2301977946479726,0.0008943952092993889
gini,10,2,5,log2,0.8205940594059405,0.38333333333333336,0.2569444444444444,0.30602089268755933,0.2146004522598137,0.0008943952092993889
gini,10,5,5,log2,0.8403960396039604,0.4777777777777778,0.29583333333333334,0.3653846153846154,0.29046087295002804,0.0008943952092993889
gini,10,10,5,log2,0.7573927392739274,0.22446311858076565,0.23611111111111108,0.22468272468272468,0.0859683241005393,0.0008943952092993889
gini,10,2,10,log2,0.8371947194719471,0.5261437908496731,0.28055555555555556,0.32711988304093564,0.2830682526092917,0.0008943952092993889
gini,10,5,10,log2,0.8105280528052804,0.5811965811965812,0.06527777777777778,0.09706257982120052,0.0556228269159317,0.0008943952092993889
gini,10,10,10,log2,0.8471287128712871,0.537878787878788,0.2986111111111111,0.38258185721953836,0.32078050791206153,0.0008943952092993889
gini,30,2,1,None,0.8272607260726073,0.4781746031746032,0.4069444444444444,0.42037037037037034,0.33476924267737,0.0008943952092993889
gini,30,5,1,None,0.813927392739274,0.42804232804232806,0.3625,0.38095238095238093,0.28205518253899253,0.0008943952092993889
gini,30,10,1,None,0.823927392739274,0.43915343915343913,0.34027777777777773,0.37777777777777777,0.28393660317419334,0.0008943952092993889
gini,30,2,2,None,0.8270957095709571,0.4829545454545454,0.31666666666666665,0.37624452409398645,0.2924952581743429,0.0008943952092993889
gini,30,5,2,None,0.8272937293729373,0.4607142857142857,0.34027777777777773,0.3828636756890372,0.29480413520106513,0.0008943952092993889
gini,30,10,2,None,0.8105940594059406,0.39470899470899473,0.29583333333333334,0.3333333333333333,0.23164902147484692,0.0008943952092993889
gini,30,2,5,None,0.8304950495049505,0.466991341991342,0.32083333333333336,0.36843107717348017,0.2887139771895273,0.0008943952092993889
gini,30,5,5,None,0.827161716171617,0.46479835953520166,0.3430555555555556,0.3766537210697483,0.2957976145142405,0.0008943952092993889
gini,30,10,5,None,0.8238283828382839,0.4586580086580086,0.3430555555555556,0.37273215244229735,0.2903961330885734,0.0008943952092993889
gini,30,2,10,None,0.7974917491749176,0.35695006747638325,0.2347222222222222,0.2571428571428571,0.16603574520125972,0.0008943952092993889
gini,30,5,10,None,0.7974917491749176,0.35695006747638325,0.2347222222222222,0.2571428571428571,0.16603574520125972,0.0008943952092993889
gini,30,10,10,None,0.7974917491749176,0.35695006747638325,0.2347222222222222,0.2571428571428571,0.16603574520125972,0.0008943952092993889
gini,30,2,1,sqrt,0.8138283828382838,0.4490740740740741,0.3833333333333333,0.39814814814814814,0.3013257423899078,0.0008943952092993889
gini,30,5,1,sqrt,0.8338613861386138,0.46336996336996333,0.3625,0.4040671971706455,0.31427960918589815,0.0008943952092993889
gini,30,10,1,sqrt,0.8005940594059405,0.32503607503607507,0.25555555555555554,0.28507571611019883,0.1737207070871757,0.0008943952092993889
gini,30,2,2,sqrt,0.7972937293729373,0.3158263305322129,0.27638888888888885,0.2854066612832391,0.1761499808752198,0.0008943952092993889
gini,30,5,2,sqrt,0.8006930693069307,0.2846560846560846,0.19305555555555554,0.22454106280193234,0.123210522298638,0.0008943952092993889
gini,30,10,2,sqrt,0.8405280528052805,0.4948717948717949,0.3,0.36585161964472307,0.29734272637903775,0.0008943952092993889
gini,30,2,5,sqrt,0.8304620462046204,0.47455648926237165,0.4916666666666667,0.47474747474747475,0.3801171878693781,0.0008943952092993889
gini,30,5,5,sqrt,0.813960396039604,0.3925925925925926,0.4069444444444444,0.38976430976430976,0.2878362059183622,0.0008943952092993889
gini,30,10,5,sqrt,0.8138613861386138,0.43062200956937796,0.4916666666666667,0.45483316133470925,0.3478219905435702,0.0008943952092993889
gini,30,2,10,sqrt,0.8372607260726072,0.48148148148148145,0.3194444444444444,0.3568627450980393,0.2936150750653705,0.0008943952092993889
gini,30,5,10,sqrt,0.8237953795379539,0.5174603174603174,0.3,0.3351327035537562,0.27997287559858525,0.0008943952092993889
gini,30,10,10,sqrt,0.8271617161716173,0.4238095238095238,0.23611111111111108,0.3005574136008919,0.2239253175695737,0.0008943952092993889
gini,30,2,1,log2,0.813993399339934,0.37170868347338937,0.3458333333333334,0.35331196581196583,0.24926123012420234,0.0008943952092993889
gini,30,5,1,log2,0.8305280528052806,0.4523809523809524,0.4055555555555556,0.42758620689655175,0.3292433303755559,0.0008943952092993889
gini,30,10,1,log2,0.8404620462046205,0.4783549783549783,0.40138888888888885,0.4358974358974359,0.34609488982498066,0.0008943952092993889
gini,30,2,2,log2,0.813927392739274,0.36406926406926404,0.27638888888888885,0.3128205128205128,0.21147930181317118,0.0008943952092993889
gini,30,5,2,log2,0.8205280528052805,0.4102564102564103,0.3194444444444444,0.3578544061302682,0.25887703447173316,0.0008943952092993889
gini,30,10,2,log2,0.8205610561056105,0.3857142857142857,0.25416666666666665,0.30028985507246375,0.21250492168612797,0.0008943952092993889
gini,30,2,5,log2,0.8137623762376238,0.411764705882353,0.2347222222222222,0.286231884057971,0.20587554307180944,0.0008943952092993889
gini,30,5,5,log2,0.8007260726072607,0.24074074074074073,0.12638888888888888,0.15984962406015038,0.06754799990796369,0.0008943952092993889
gini,30,10,5,log2,0.8171947194719471,0.3686868686868687,0.2125,0.26851851851851855,0.18131661883889427,0.0008943952092993889
gini,30,2,10,log2,0.8171947194719471,0.32539682539682535,0.15,0.20322793148880103,0.12791502555577014,0.0008943952092993889
gini,30,5,10,log2,0.8107590759075908,0.34927536231884054,0.2986111111111111,0.3018315018315018,0.21115123335876632,0.0008943952092993889
gini,30,10,10,log2,0.8305610561056106,0.4568627450980392,0.3416666666666666,0.36161616161616167,0.2893490446428226,0.0008943952092993889
gini,50,2,1,None,0.8305940594059406,0.5113871635610766,0.4291666666666667,0.43615560640732265,0.3603163332627289,0.0008943952092993889
gini,50,5,1,None,0.8171947194719472,0.4395711500974659,0.3611111111111111,0.3869281045751634,0.2893607731160405,0.0008943952092993889
gini,50,10,1,None,0.8204950495049506,0.4454347395523866,0.31805555555555554,0.36481481481481487,0.2726681985954386,0.0008943952092993889
gini,50,2,2,None,0.8206270627062707,0.4414565826330532,0.3416666666666666,0.36997428705002333,0.28047837614500326,0.0008943952092993889
gini,50,5,2,None,0.8172937293729373,0.4226851851851852,0.34027777777777773,0.36989247311827955,0.2714200085981288,0.0008943952092993889
gini,50,10,2,None,0.8205940594059405,0.4120879120879121,0.31805555555555554,0.35677655677655684,0.25888656860030757,0.0008943952092993889
