n_estimators,max_depth,min_samples_split,min_samples_leaf,criterion,accuracy,precision,recall,f1,mcc,preparationTime
10,10,2,1,gini,0.8837704918032786,1.0,0.25555555555555554,0.40442890442890445,0.47179690806629865,0.0014853415016612876
50,10,2,1,gini,0.8704371584699453,0.85,0.2111111111111111,0.32874458874458873,0.37452643154682297,0.0014853415016612876
100,10,2,1,gini,0.887049180327869,0.8433333333333334,0.3355555555555555,0.4717016317016317,0.48213296616267176,0.0014853415016612876
300,10,2,1,gini,0.8836612021857924,0.9333333333333333,0.27111111111111114,0.407965367965368,0.4559533515686619,0.0014853415016612876
500,10,2,1,gini,0.8837704918032786,0.95,0.27111111111111114,0.40450216450216453,0.4575109491541142,0.0014853415016612876
10,10,5,1,gini,0.877103825136612,0.7766666666666666,0.29777777777777775,0.42564102564102557,0.42902304664668184,0.0014853415016612876
50,10,5,1,gini,0.8672131147540985,0.8333333333333333,0.2111111111111111,0.32884448884448886,0.367473765964163,0.0014853415016612876
100,10,5,1,gini,0.8703825136612021,0.8333333333333334,0.20888888888888885,0.32764568764568763,0.37009620632140183,0.0014853415016612876
300,10,5,1,gini,0.8737158469945356,0.9,0.20888888888888885,0.3337062937062937,0.3921139722874326,0.0014853415016612876
500,10,5,1,gini,0.8803825136612022,0.9,0.2511111111111111,0.3884115884115884,0.43546534315542235,0.0014853415016612876
10,10,2,2,gini,0.8803825136612021,0.86,0.27999999999999997,0.41265401265401264,0.4433442642592612,0.0014853415016612876
50,10,2,2,gini,0.8638251366120219,0.7666666666666666,0.1911111111111111,0.3039627039627039,0.33601583847206185,0.0014853415016612876
100,10,2,2,gini,0.8837704918032786,1.0,0.25333333333333335,0.3936796536796537,0.46229558864815684,0.0014853415016612876
300,10,2,2,gini,0.867103825136612,1.0,0.14666666666666667,0.2533333333333333,0.35215044550147434,0.0014853415016612876
500,10,2,2,gini,0.8703825136612021,1.0,0.16666666666666669,0.27897435897435896,0.37171402339576,0.0014853415016612876
10,10,5,2,gini,0.8803825136612022,0.8,0.2511111111111111,0.3793206793206793,0.40893879085934526,0.0014853415016612876
50,10,5,2,gini,0.8704371584699453,0.9,0.1911111111111111,0.3151515151515151,0.37942438418143726,0.0014853415016612876
