fold,threshold,accuracy,precision,recall,f1,mcc
1,0.1,0.8811881188118812,0.6,0.75,0.6666666666666666,0.6009493820344695
1,0.2,0.900990099009901,0.6666666666666666,0.75,0.7058823529411765,0.6482271521790121
1,0.30000000000000004,0.8910891089108911,0.6923076923076923,0.5625,0.6206896551724138,0.5619990113237906
1,0.4,0.9207920792079208,0.9,0.5625,0.6923076923076923,0.67327372688396
1,0.5,0.9207920792079208,0.9,0.5625,0.6923076923076923,0.67327372688396
1,0.6,0.9207920792079208,0.9,0.5625,0.6923076923076923,0.67327372688396
1,0.7000000000000001,0.9108910891089109,1.0,0.4375,0.6086956521739131,0.6289767103221386
1,0.8,0.8910891089108911,1.0,0.3125,0.47619047619047616,0.5260158822063582
1,0.9,0.8811881188118812,1.0,0.25,0.4,0.46805145544956234
2,0.1,0.87,0.5789473684210527,0.6875,0.6285714285714286,0.5534700482779445
2,0.2,0.89,0.6923076923076923,0.5625,0.6206896551724138,0.5612743009357455
2,0.30000000000000004,0.87,0.7142857142857143,0.3125,0.43478260869565216,0.41480272134755153
2,0.4,0.84,0.5,0.125,0.2,0.18931004635463394
2,0.5,0.85,0.6666666666666666,0.125,0.21052631578947367,0.24305102621022315
2,0.6,0.85,1.0,0.0625,0.11764705882352941,0.23028309323591917
2,0.7000000000000001,0.85,1.0,0.0625,0.11764705882352941,0.23028309323591917
2,0.8,0.85,1.0,0.0625,0.11764705882352941,0.23028309323591917
2,0.9,0.84,1.0,0.0,0.0,0.0
3,0.1,0.88,0.5652173913043478,0.8666666666666667,0.6842105263157895,0.6355343059440075
3,0.2,0.92,0.7692307692307693,0.6666666666666666,0.7142857142857143,0.670362150538242
3,0.30000000000000004,0.94,1.0,0.6,0.75,0.7486251134176307
3,0.4,0.93,1.0,0.5333333333333333,0.6956521739130435,0.7019641181630338
3,0.5,0.91,1.0,0.4,0.5714285714285714,0.6014167670256413
3,0.6,0.9,1.0,0.3333333333333333,0.5,0.5461186812727502
3,0.7000000000000001,0.89,1.0,0.26666666666666666,0.42105263157894735,0.485912657903775
3,0.8,0.89,1.0,0.26666666666666666,0.42105263157894735,0.485912657903775
3,0.9,0.88,1.0,0.2,0.3333333333333333,0.4186379485411743
