eta,max_depth,n_estimators,accuracy,precision,recall,f1,mcc,preparationTime
0.01,3,50,0.843879781420765,1.0,0.0,0.0,0.0,0.0009697562292356669
0.01,3,100,0.8638251366120219,1.0,0.12666666666666665,0.21575757575757573,0.2917459826065241,0.0009697562292356669
0.01,3,200,0.8738251366120219,0.8833333333333332,0.23555555555555552,0.36147186147186144,0.4059988208377767,0.0009697562292356669
0.01,3,300,0.8838251366120218,0.8933333333333333,0.29999999999999993,0.4327738927738928,0.46364433486115386,0.0009697562292356669
0.01,5,50,0.843879781420765,1.0,0.0,0.0,0.0,0.0009697562292356669
0.01,5,100,0.8604918032786886,0.8333333333333333,0.1488888888888889,0.24699300699300702,0.30666277160235744,0.0009697562292356669
0.01,5,200,0.8804371584699453,0.82,0.3222222222222222,0.4534798534798535,0.45987961455886345,0.0009697562292356669
0.01,5,300,0.883825136612022,0.8300000000000001,0.3466666666666667,0.464935064935065,0.4712917797200449,0.0009697562292356669
0.01,7,50,0.843879781420765,1.0,0.0,0.0,0.0,0.0009697562292356669
0.01,7,100,0.8571584699453553,0.7333333333333333,0.12666666666666665,0.21062937062937062,0.2593211475254288,0.0009697562292356669
0.01,7,200,0.877103825136612,0.8033333333333333,0.3022222222222222,0.4293040293040293,0.4377723130305652,0.0009697562292356669
0.01,7,300,0.883825136612022,0.85,0.3466666666666667,0.46801198801198807,0.4781118400922927,0.0009697562292356669
0.01,10,50,0.843879781420765,1.0,0.0,0.0,0.0,0.0009697562292356669
0.01,10,100,0.8571584699453553,0.7333333333333333,0.12666666666666665,0.21062937062937062,0.2593211475254288,0.0009697562292356669
0.01,10,200,0.877103825136612,0.8033333333333333,0.3022222222222222,0.4293040293040293,0.4377723130305652,0.0009697562292356669
0.01,10,300,0.883825136612022,0.85,0.3466666666666667,0.46801198801198807,0.4781118400922927,0.0009697562292356669
0.1,3,50,0.893825136612022,0.8933333333333333,0.36666666666666664,0.4954112554112554,0.5142750215766428,0.0009697562292356669
0.1,3,100,0.9038251366120219,0.9266666666666667,0.4311111111111111,0.5613636363636364,0.5744347888139459,0.0009697562292356669
0.1,3,200,0.9004918032786886,0.8766666666666666,0.45111111111111113,0.5601731601731601,0.5619989145264386,0.0009697562292356669
0.1,3,300,0.9004918032786886,0.8766666666666666,0.45111111111111113,0.5601731601731601,0.5619989145264386,0.0009697562292356669
0.1,5,50,0.8838251366120218,0.86,0.3244444444444444,0.45174825174825173,0.46880715232514003,0.0009697562292356669
0.1,5,100,0.883825136612022,0.8028571428571428,0.3888888888888889,0.49088744588744593,0.4845467075548263,0.0009697562292356669
0.1,5,200,0.8904918032786886,0.840952380952381,0.4111111111111111,0.5192207792207791,0.5177018100883246,0.0009697562292356669
0.1,5,300,0.8871584699453553,0.8142857142857143,0.4111111111111111,0.5125541125541125,0.5046661500939035,0.0009697562292356669
0.1,7,50,0.8871584699453553,0.8433333333333334,0.3688888888888889,0.48588744588744587,0.4917594592762396,0.0009697562292356669
0.1,7,100,0.893825136612022,0.8428571428571429,0.4311111111111111,0.535887445887446,0.5324426224610247,0.0009697562292356669
0.1,7,200,0.893825136612022,0.8342857142857143,0.4288888888888889,0.5311115355233003,0.5273833875664871,0.0009697562292356669
0.1,7,300,0.8904918032786886,0.819047619047619,0.4311111111111111,0.5285345047109753,0.5199892595099275,0.0009697562292356669
