eta,max_depth,dim,eps,avgFlakyTrain,avgNonFlakyTrain,avgFlakyTest,avgNonFlakyTest,precision,recall,accuracy,storage,preparationTime,predictionTime
0.1,3,0,0.1,42.3,42.3,4.7,4.7,0.7052380952380952,0.725,0.7200000000000001,2928897,0.6692828400016879,0.00574808504972168
0.1,3,0,0.3,42.3,42.3,4.7,4.7,0.7946428571428571,0.73,0.7333333333333334,379617,0.2827149600037956,0.0030122653783119313
0.1,3,0,0.5,42.3,42.3,4.7,4.7,0.7616666666666666,0.7499999999999999,0.7533333333333332,164544,0.24424594000302022,0.002701052909760104
0.1,3,100,0.1,42.3,42.3,4.7,4.7,0.7566666666666666,0.675,0.7022222222222222,75808,0.22689131000806811,0.0025505430612292163
0.1,3,100,0.3,42.3,42.3,4.7,4.7,0.6883333333333334,0.62,0.6566666666666666,75808,0.2350475600062055,0.002621811324015373
0.1,3,100,0.5,42.3,42.3,4.7,4.7,0.6824999999999999,0.64,0.6488888888888888,75808,0.23003488999529503,0.002572576947662711
0.1,3,200,0.1,42.3,42.3,4.7,4.7,0.6291666666666667,0.655,0.6511111111111111,151008,0.24312827999528963,0.0026858725082482895
0.1,3,200,0.3,42.3,42.3,4.7,4.7,0.7543650793650792,0.7150000000000001,0.7011111111111112,151008,0.2498902199993608,0.0027464894137983614
0.1,3,200,0.5,42.3,42.3,4.7,4.7,0.7083333333333334,0.65,0.6877777777777777,151008,0.26587395001552067,0.0028562070189479954
0.1,5,0,0.1,42.3,42.3,4.7,4.7,0.8096428571428571,0.835,0.7822222222222223,2928897,0.7890472000042793,0.006637025262692123
0.1,5,0,0.3,42.3,42.3,4.7,4.7,0.8138095238095238,0.6900000000000001,0.731111111111111,379617,0.3169297599990386,0.003334798220062467
0.1,5,0,0.5,42.3,42.3,4.7,4.7,0.785952380952381,0.6599999999999999,0.7088888888888889,164544,0.251086369996483,0.002740317642713933
0.1,5,100,0.1,42.3,42.3,4.7,4.7,0.8058333333333334,0.755,0.7544444444444445,75808,0.23096226999477948,0.0025741784468152965
0.1,5,100,0.3,42.3,42.3,4.7,4.7,0.6266666666666667,0.61,0.63,75808,0.2304328599973815,0.002563695382804268
0.1,5,100,0.5,42.3,42.3,4.7,4.7,0.7891666666666668,0.74,0.7533333333333332,75808,0.2333522099957918,0.0026109863429757693
0.1,5,200,0.1,42.3,42.3,4.7,4.7,0.7883333333333333,0.72,0.7533333333333333,151008,0.2422422800053027,0.0026461539431661568
0.1,5,200,0.3,42.3,42.3,4.7,4.7,0.7316666666666667,0.6900000000000001,0.721111111111111,151008,0.24624685000162566,0.002695076307575298
0.1,5,200,0.5,42.3,42.3,4.7,4.7,0.7123809523809526,0.755,0.6866666666666668,151008,0.2423052700047265,0.0026552978958459114
