criterion,max_depth,min_samples_split,min_samples_leaf,max_features,accuracy,precision,recall,f1,preparationTime
gini,None,2,1,None,0.6403508771929824,0.6806060606060605,0.5822222222222222,0.615204678362573,0.0018527457447836493
gini,None,5,1,None,0.6830409356725146,0.7139393939393939,0.6444444444444444,0.6683333333333333,0.0018527457447836493
gini,None,10,1,None,0.6818713450292397,0.692034632034632,0.6822222222222221,0.6833333333333332,0.0018527457447836493
gini,None,2,2,None,0.6824561403508772,0.740952380952381,0.6,0.6548194014447886,0.0018527457447836493
gini,None,5,2,None,0.6824561403508772,0.7242857142857142,0.6222222222222221,0.6626625386996905,0.0018527457447836493
gini,None,10,2,None,0.7029239766081872,0.7214285714285714,0.6822222222222221,0.6985448916408669,0.0018527457447836493
gini,None,2,4,None,0.6391812865497075,0.6892424242424242,0.6177777777777778,0.6283430295195,0.0018527457447836493
gini,None,5,4,None,0.6391812865497075,0.6892424242424242,0.6177777777777778,0.6283430295195,0.0018527457447836493
gini,None,10,4,None,0.6502923976608186,0.6606709956709957,0.6622222222222222,0.655266106442577,0.0018527457447836493
gini,None,2,1,sqrt,0.7883040935672515,0.7955555555555555,0.7888888888888889,0.787227538543328,0.0018527457447836493
gini,None,5,1,sqrt,0.7128654970760234,0.7507936507936508,0.6799999999999999,0.6972222222222222,0.0018527457447836493
gini,None,10,1,sqrt,0.6812865497076024,0.6885714285714286,0.7,0.6840350877192982,0.0018527457447836493
gini,None,2,2,sqrt,0.7239766081871345,0.7730158730158729,0.7044444444444444,0.7087301587301587,0.0018527457447836493
gini,None,5,2,sqrt,0.7128654970760234,0.7841269841269841,0.6599999999999999,0.6865079365079365,0.0018527457447836493
gini,None,10,2,sqrt,0.6812865497076024,0.6983333333333334,0.6599999999999999,0.6706007442849548,0.0018527457447836493
gini,None,2,4,sqrt,0.6590643274853801,0.6772727272727271,0.6177777777777778,0.6404747162022704,0.0018527457447836493
gini,None,5,4,sqrt,0.6590643274853801,0.6772727272727271,0.6177777777777778,0.6404747162022704,0.0018527457447836493
gini,None,10,4,sqrt,0.6385964912280702,0.6617965367965368,0.571111111111111,0.6089628482972136,0.0018527457447836493
gini,None,2,1,log2,0.607017543859649,0.6367099567099567,0.5511111111111111,0.5819047619047618,0.0018527457447836493
gini,None,5,1,log2,0.6684210526315789,0.7192063492063492,0.5466666666666666,0.6107287449392713,0.0018527457447836493
gini,None,10,1,log2,0.6473684210526316,0.6605194805194805,0.6133333333333333,0.6306015037593984,0.0018527457447836493
gini,None,2,2,log2,0.6257309941520468,0.6550505050505049,0.5222222222222223,0.5690620782726046,0.0018527457447836493
gini,None,5,2,log2,0.6678362573099415,0.7244444444444446,0.5422222222222223,0.6008726945569052,0.0018527457447836493
gini,None,10,2,log2,0.6994152046783627,0.7285714285714285,0.6333333333333333,0.675,0.0018527457447836493
gini,None,2,4,log2,0.6888888888888889,0.7359307359307359,0.6133333333333333,0.6607142857142857,0.0018527457447836493
gini,None,5,4,log2,0.6888888888888889,0.7359307359307359,0.6133333333333333,0.6607142857142857,0.0018527457447836493
gini,None,10,4,log2,0.6678362573099415,0.7275974025974026,0.5711111111111111,0.6283613445378151,0.0018527457447836493
gini,10,2,1,None,0.6403508771929824,0.6806060606060605,0.5822222222222222,0.615204678362573,0.0018527457447836493
gini,10,5,1,None,0.6830409356725146,0.7139393939393939,0.6444444444444444,0.6683333333333333,0.0018527457447836493
gini,10,10,1,None,0.6818713450292397,0.692034632034632,0.6822222222222221,0.6833333333333332,0.0018527457447836493
gini,10,2,2,None,0.6824561403508772,0.740952380952381,0.6,0.6548194014447886,0.0018527457447836493
gini,10,5,2,None,0.6824561403508772,0.7242857142857142,0.6222222222222221,0.6626625386996905,0.0018527457447836493
gini,10,10,2,None,0.7029239766081872,0.7214285714285714,0.6822222222222221,0.6985448916408669,0.0018527457447836493
gini,10,2,4,None,0.6391812865497075,0.6892424242424242,0.6177777777777778,0.6283430295195,0.0018527457447836493
gini,10,5,4,None,0.6391812865497075,0.6892424242424242,0.6177777777777778,0.6283430295195,0.0018527457447836493
gini,10,10,4,None,0.6502923976608186,0.6606709956709957,0.6622222222222222,0.655266106442577,0.0018527457447836493
gini,10,2,1,sqrt,0.7883040935672515,0.7955555555555555,0.7888888888888889,0.787227538543328,0.0018527457447836493
gini,10,5,1,sqrt,0.7128654970760234,0.7507936507936508,0.6799999999999999,0.6972222222222222,0.0018527457447836493
gini,10,10,1,sqrt,0.6812865497076024,0.6885714285714286,0.7,0.6840350877192982,0.0018527457447836493
gini,10,2,2,sqrt,0.7239766081871345,0.7730158730158729,0.7044444444444444,0.7087301587301587,0.0018527457447836493
gini,10,5,2,sqrt,0.7128654970760234,0.7841269841269841,0.6599999999999999,0.6865079365079365,0.0018527457447836493
gini,10,10,2,sqrt,0.6812865497076024,0.6983333333333334,0.6599999999999999,0.6706007442849548,0.0018527457447836493
gini,10,2,4,sqrt,0.6590643274853801,0.6772727272727271,0.6177777777777778,0.6404747162022704,0.0018527457447836493
gini,10,5,4,sqrt,0.6590643274853801,0.6772727272727271,0.6177777777777778,0.6404747162022704,0.0018527457447836493
gini,10,10,4,sqrt,0.6385964912280702,0.6617965367965368,0.571111111111111,0.6089628482972136,0.0018527457447836493
gini,10,2,1,log2,0.607017543859649,0.6367099567099567,0.5511111111111111,0.5819047619047618,0.0018527457447836493
gini,10,5,1,log2,0.6684210526315789,0.7192063492063492,0.5466666666666666,0.6107287449392713,0.0018527457447836493
gini,10,10,1,log2,0.6473684210526316,0.6605194805194805,0.6133333333333333,0.6306015037593984,0.0018527457447836493
gini,10,2,2,log2,0.6257309941520468,0.6550505050505049,0.5222222222222223,0.5690620782726046,0.0018527457447836493
gini,10,5,2,log2,0.6678362573099415,0.7244444444444446,0.5422222222222223,0.6008726945569052,0.0018527457447836493
gini,10,10,2,log2,0.6994152046783627,0.7285714285714285,0.6333333333333333,0.675,0.0018527457447836493
gini,10,2,4,log2,0.6888888888888889,0.7359307359307359,0.6133333333333333,0.6607142857142857,0.0018527457447836493
