n_estimators,max_depth,criterion,accuracy,precision,recall,f1,preparationTime
10,10,gini,0.7228070175438597,0.8,0.5977777777777777,0.6663226694186445,0.001715974297872948
50,10,gini,0.7444444444444446,0.8222222222222222,0.6199999999999999,0.6935574229691877,0.001715974297872948
100,10,gini,0.7766081871345029,0.8314285714285713,0.6866666666666666,0.7433814929480563,0.001715974297872948
300,10,gini,0.7748538011695907,0.825,0.7066666666666667,0.7494599243206055,0.001715974297872948
500,10,gini,0.7327485380116959,0.771969696969697,0.6644444444444444,0.6944724556489262,0.001715974297872948
10,10,gini,0.6701754385964912,0.7045238095238096,0.5977777777777777,0.6402046783625731,0.001715974297872948
50,10,gini,0.7122807017543858,0.7355050505050506,0.6844444444444445,0.692734778121775,0.001715974297872948
100,10,gini,0.7339181286549707,0.7544444444444445,0.6844444444444444,0.7113519091847265,0.001715974297872948
300,10,gini,0.7327485380116959,0.7627777777777778,0.6644444444444444,0.7005710354317165,0.001715974297872948
500,10,gini,0.7444444444444445,0.7836363636363637,0.6644444444444444,0.7044444444444444,0.001715974297872948
10,10,gini,0.7555555555555555,0.812063492063492,0.6622222222222223,0.7185087719298247,0.001715974297872948
50,10,gini,0.7777777777777778,0.7965656565656565,0.7511111111111111,0.7629239766081871,0.001715974297872948
100,10,gini,0.7771929824561404,0.8194444444444443,0.7066666666666667,0.75359477124183,0.001715974297872948
300,10,gini,0.743859649122807,0.7777777777777777,0.6844444444444444,0.7222222222222221,0.001715974297872948
500,10,gini,0.7228070175438596,0.7466666666666666,0.6644444444444444,0.6928654970760234,0.001715974297872948
10,10,gini,0.7239766081871346,0.763095238095238,0.6599999999999999,0.700015479876161,0.001715974297872948
50,10,gini,0.7450292397660819,0.7825757575757576,0.7066666666666667,0.7273529411764705,0.001715974297872948
100,10,gini,0.7228070175438596,0.7472222222222221,0.6622222222222223,0.6971792225662194,0.001715974297872948
300,10,gini,0.7116959064327485,0.7383333333333333,0.6422222222222222,0.6771792225662195,0.001715974297872948
500,10,gini,0.7116959064327485,0.7383333333333333,0.6422222222222222,0.6771792225662195,0.001715974297872948
10,30,gini,0.7228070175438597,0.8,0.5977777777777777,0.6663226694186445,0.001715974297872948
50,30,gini,0.7444444444444446,0.8222222222222222,0.6199999999999999,0.6935574229691877,0.001715974297872948
100,30,gini,0.7766081871345029,0.8314285714285713,0.6866666666666666,0.7433814929480563,0.001715974297872948
300,30,gini,0.7748538011695907,0.825,0.7066666666666667,0.7494599243206055,0.001715974297872948
500,30,gini,0.7327485380116959,0.771969696969697,0.6644444444444444,0.6944724556489262,0.001715974297872948
10,30,gini,0.6701754385964912,0.7045238095238096,0.5977777777777777,0.6402046783625731,0.001715974297872948
50,30,gini,0.7122807017543858,0.7355050505050506,0.6844444444444445,0.692734778121775,0.001715974297872948
100,30,gini,0.7339181286549707,0.7544444444444445,0.6844444444444444,0.7113519091847265,0.001715974297872948
300,30,gini,0.7327485380116959,0.7627777777777778,0.6644444444444444,0.7005710354317165,0.001715974297872948
500,30,gini,0.7444444444444445,0.7836363636363637,0.6644444444444444,0.7044444444444444,0.001715974297872948
10,30,gini,0.7555555555555555,0.812063492063492,0.6622222222222223,0.7185087719298247,0.001715974297872948
50,30,gini,0.7777777777777778,0.7965656565656565,0.7511111111111111,0.7629239766081871,0.001715974297872948
100,30,gini,0.7771929824561404,0.8194444444444443,0.7066666666666667,0.75359477124183,0.001715974297872948
300,30,gini,0.743859649122807,0.7777777777777777,0.6844444444444444,0.7222222222222221,0.001715974297872948
500,30,gini,0.7228070175438596,0.7466666666666666,0.6644444444444444,0.6928654970760234,0.001715974297872948
10,30,gini,0.7239766081871346,0.763095238095238,0.6599999999999999,0.700015479876161,0.001715974297872948
50,30,gini,0.7450292397660819,0.7825757575757576,0.7066666666666667,0.7273529411764705,0.001715974297872948
100,30,gini,0.7228070175438596,0.7472222222222221,0.6622222222222223,0.6971792225662194,0.001715974297872948
300,30,gini,0.7116959064327485,0.7383333333333333,0.6422222222222222,0.6771792225662195,0.001715974297872948
500,30,gini,0.7116959064327485,0.7383333333333333,0.6422222222222222,0.6771792225662195,0.001715974297872948
10,50,gini,0.7228070175438597,0.8,0.5977777777777777,0.6663226694186445,0.001715974297872948
50,50,gini,0.7444444444444446,0.8222222222222222,0.6199999999999999,0.6935574229691877,0.001715974297872948
100,50,gini,0.7766081871345029,0.8314285714285713,0.6866666666666666,0.7433814929480563,0.001715974297872948
300,50,gini,0.7748538011695907,0.825,0.7066666666666667,0.7494599243206055,0.001715974297872948
500,50,gini,0.7327485380116959,0.771969696969697,0.6644444444444444,0.6944724556489262,0.001715974297872948
10,50,gini,0.6701754385964912,0.7045238095238096,0.5977777777777777,0.6402046783625731,0.001715974297872948
50,50,gini,0.7122807017543858,0.7355050505050506,0.6844444444444445,0.692734778121775,0.001715974297872948
100,50,gini,0.7339181286549707,0.7544444444444445,0.6844444444444444,0.7113519091847265,0.001715974297872948
300,50,gini,0.7327485380116959,0.7627777777777778,0.6644444444444444,0.7005710354317165,0.001715974297872948
500,50,gini,0.7444444444444445,0.7836363636363637,0.6644444444444444,0.7044444444444444,0.001715974297872948
10,50,gini,0.7555555555555555,0.812063492063492,0.6622222222222223,0.7185087719298247,0.001715974297872948
50,50,gini,0.7777777777777778,0.7965656565656565,0.7511111111111111,0.7629239766081871,0.001715974297872948
100,50,gini,0.7771929824561404,0.8194444444444443,0.7066666666666667,0.75359477124183,0.001715974297872948
300,50,gini,0.743859649122807,0.7777777777777777,0.6844444444444444,0.7222222222222221,0.001715974297872948
500,50,gini,0.7228070175438596,0.7466666666666666,0.6644444444444444,0.6928654970760234,0.001715974297872948
10,50,gini,0.7239766081871346,0.763095238095238,0.6599999999999999,0.700015479876161,0.001715974297872948
50,50,gini,0.7450292397660819,0.7825757575757576,0.7066666666666667,0.7273529411764705,0.001715974297872948
100,50,gini,0.7228070175438596,0.7472222222222221,0.6622222222222223,0.6971792225662194,0.001715974297872948
300,50,gini,0.7116959064327485,0.7383333333333333,0.6422222222222222,0.6771792225662195,0.001715974297872948
500,50,gini,0.7116959064327485,0.7383333333333333,0.6422222222222222,0.6771792225662195,0.001715974297872948
10,100,gini,0.7228070175438597,0.8,0.5977777777777777,0.6663226694186445,0.001715974297872948
50,100,gini,0.7444444444444446,0.8222222222222222,0.6199999999999999,0.6935574229691877,0.001715974297872948
100,100,gini,0.7766081871345029,0.8314285714285713,0.6866666666666666,0.7433814929480563,0.001715974297872948
300,100,gini,0.7748538011695907,0.825,0.7066666666666667,0.7494599243206055,0.001715974297872948
500,100,gini,0.7327485380116959,0.771969696969697,0.6644444444444444,0.6944724556489262,0.001715974297872948
10,100,gini,0.6701754385964912,0.7045238095238096,0.5977777777777777,0.6402046783625731,0.001715974297872948
50,100,gini,0.7122807017543858,0.7355050505050506,0.6844444444444445,0.692734778121775,0.001715974297872948
100,100,gini,0.7339181286549707,0.7544444444444445,0.6844444444444444,0.7113519091847265,0.001715974297872948
300,100,gini,0.7327485380116959,0.7627777777777778,0.6644444444444444,0.7005710354317165,0.001715974297872948
500,100,gini,0.7444444444444445,0.7836363636363637,0.6644444444444444,0.7044444444444444,0.001715974297872948
10,100,gini,0.7555555555555555,0.812063492063492,0.6622222222222223,0.7185087719298247,0.001715974297872948
50,100,gini,0.7777777777777778,0.7965656565656565,0.7511111111111111,0.7629239766081871,0.001715974297872948
100,100,gini,0.7771929824561404,0.8194444444444443,0.7066666666666667,0.75359477124183,0.001715974297872948
300,100,gini,0.743859649122807,0.7777777777777777,0.6844444444444444,0.7222222222222221,0.001715974297872948
500,100,gini,0.7228070175438596,0.7466666666666666,0.6644444444444444,0.6928654970760234,0.001715974297872948
10,100,gini,0.7239766081871346,0.763095238095238,0.6599999999999999,0.700015479876161,0.001715974297872948
50,100,gini,0.7450292397660819,0.7825757575757576,0.7066666666666667,0.7273529411764705,0.001715974297872948
100,100,gini,0.7228070175438596,0.7472222222222221,0.6622222222222223,0.6971792225662194,0.001715974297872948
300,100,gini,0.7116959064327485,0.7383333333333333,0.6422222222222222,0.6771792225662195,0.001715974297872948
500,100,gini,0.7116959064327485,0.7383333333333333,0.6422222222222222,0.6771792225662195,0.001715974297872948
10,300,gini,0.7228070175438597,0.8,0.5977777777777777,0.6663226694186445,0.001715974297872948
50,300,gini,0.7444444444444446,0.8222222222222222,0.6199999999999999,0.6935574229691877,0.001715974297872948
100,300,gini,0.7766081871345029,0.8314285714285713,0.6866666666666666,0.7433814929480563,0.001715974297872948
300,300,gini,0.7748538011695907,0.825,0.7066666666666667,0.7494599243206055,0.001715974297872948
500,300,gini,0.7327485380116959,0.771969696969697,0.6644444444444444,0.6944724556489262,0.001715974297872948
10,300,gini,0.6701754385964912,0.7045238095238096,0.5977777777777777,0.6402046783625731,0.001715974297872948
50,300,gini,0.7122807017543858,0.7355050505050506,0.6844444444444445,0.692734778121775,0.001715974297872948
100,300,gini,0.7339181286549707,0.7544444444444445,0.6844444444444444,0.7113519091847265,0.001715974297872948
300,300,gini,0.7327485380116959,0.7627777777777778,0.6644444444444444,0.7005710354317165,0.001715974297872948
500,300,gini,0.7444444444444445,0.7836363636363637,0.6644444444444444,0.7044444444444444,0.001715974297872948
10,300,gini,0.7555555555555555,0.812063492063492,0.6622222222222223,0.7185087719298247,0.001715974297872948
50,300,gini,0.7777777777777778,0.7965656565656565,0.7511111111111111,0.7629239766081871,0.001715974297872948
100,300,gini,0.7771929824561404,0.8194444444444443,0.7066666666666667,0.75359477124183,0.001715974297872948
300,300,gini,0.743859649122807,0.7777777777777777,0.6844444444444444,0.7222222222222221,0.001715974297872948
500,300,gini,0.7228070175438596,0.7466666666666666,0.6644444444444444,0.6928654970760234,0.001715974297872948
10,300,gini,0.7239766081871346,0.763095238095238,0.6599999999999999,0.700015479876161,0.001715974297872948
50,300,gini,0.7450292397660819,0.7825757575757576,0.7066666666666667,0.7273529411764705,0.001715974297872948
100,300,gini,0.7228070175438596,0.7472222222222221,0.6622222222222223,0.6971792225662194,0.001715974297872948
300,300,gini,0.7116959064327485,0.7383333333333333,0.6422222222222222,0.6771792225662195,0.001715974297872948
500,300,gini,0.7116959064327485,0.7383333333333333,0.6422222222222222,0.6771792225662195,0.001715974297872948
10,500,gini,0.7228070175438597,0.8,0.5977777777777777,0.6663226694186445,0.001715974297872948
50,500,gini,0.7444444444444446,0.8222222222222222,0.6199999999999999,0.6935574229691877,0.001715974297872948
100,500,gini,0.7766081871345029,0.8314285714285713,0.6866666666666666,0.7433814929480563,0.001715974297872948
300,500,gini,0.7748538011695907,0.825,0.7066666666666667,0.7494599243206055,0.001715974297872948
500,500,gini,0.7327485380116959,0.771969696969697,0.6644444444444444,0.6944724556489262,0.001715974297872948
10,500,gini,0.6701754385964912,0.7045238095238096,0.5977777777777777,0.6402046783625731,0.001715974297872948
50,500,gini,0.7122807017543858,0.7355050505050506,0.6844444444444445,0.692734778121775,0.001715974297872948
100,500,gini,0.7339181286549707,0.7544444444444445,0.6844444444444444,0.7113519091847265,0.001715974297872948
300,500,gini,0.7327485380116959,0.7627777777777778,0.6644444444444444,0.7005710354317165,0.001715974297872948
