n_estimators,max_depth,learning_rate,gamma,subsample,colsample_bytree,min_child_weight,accuracy,precision,recall,f1,preparationTime
100,3,0.01,0,0.8,0.8,1,0.8406779661016948,0.0,0.0,0.0,0.002513789152529217
100,3,0.01,0,1,0.8,1,0.8305084745762713,0.2,0.02222222222222222,0.04,0.002513789152529217
200,3,0.01,0,0.8,0.8,1,0.8474576271186441,0.7333333333333333,0.12666666666666665,0.21062937062937062,0.002513789152529217
200,3,0.01,0,1,0.8,1,0.8440677966101695,0.6533333333333333,0.1488888888888889,0.22361638361638364,0.002513789152529217
100,3,0.01,0,0.8,0.8,3,0.8406779661016948,0.0,0.0,0.0,0.002513789152529217
100,3,0.01,0,1,0.8,3,0.8372881355932205,0.1,0.02,0.03333333333333333,0.002513789152529217
200,3,0.01,0,0.8,0.8,3,0.8440677966101695,0.45,0.08444444444444445,0.13743589743589743,0.002513789152529217
200,3,0.01,0,1,0.8,3,0.8542372881355933,0.7833333333333333,0.17111111111111113,0.26867132867132865,0.002513789152529217
100,5,0.01,0,0.8,0.8,1,0.8406779661016948,0.0,0.0,0.0,0.002513789152529217
100,5,0.01,0,1,0.8,1,0.8305084745762713,0.2,0.02222222222222222,0.04,0.002513789152529217
200,5,0.01,0,0.8,0.8,1,0.8508474576271187,0.7833333333333333,0.1488888888888889,0.24139860139860142,0.002513789152529217
200,5,0.01,0,1,0.8,1,0.8542372881355933,0.74,0.21555555555555556,0.30493506493506495,0.002513789152529217
100,5,0.01,0,0.8,0.8,3,0.8406779661016948,0.0,0.0,0.0,0.002513789152529217
100,5,0.01,0,1,0.8,3,0.8372881355932205,0.1,0.02,0.03333333333333333,0.002513789152529217
200,5,0.01,0,0.8,0.8,3,0.8440677966101695,0.45,0.08444444444444445,0.13743589743589743,0.002513789152529217
200,5,0.01,0,1,0.8,3,0.8474576271186439,0.5333333333333333,0.1488888888888889,0.220979020979021,0.002513789152529217
100,7,0.01,0,0.8,0.8,1,0.8406779661016948,0.0,0.0,0.0,0.002513789152529217
100,7,0.01,0,1,0.8,1,0.8305084745762713,0.2,0.02222222222222222,0.04,0.002513789152529217
200,7,0.01,0,0.8,0.8,1,0.8542372881355933,0.7833333333333333,0.17111111111111113,0.26867132867132865,0.002513789152529217
200,7,0.01,0,1,0.8,1,0.8542372881355933,0.74,0.21555555555555556,0.30493506493506495,0.002513789152529217
100,7,0.01,0,0.8,0.8,3,0.8406779661016948,0.0,0.0,0.0,0.002513789152529217
100,7,0.01,0,1,0.8,3,0.8372881355932205,0.1,0.02,0.03333333333333333,0.002513789152529217
200,7,0.01,0,0.8,0.8,3,0.8440677966101695,0.45,0.08444444444444445,0.13743589743589743,0.002513789152529217
200,7,0.01,0,1,0.8,3,0.8474576271186439,0.5333333333333333,0.1488888888888889,0.220979020979021,0.002513789152529217
100,3,0.1,0,0.8,0.8,1,0.8779661016949154,0.780952380952381,0.3866666666666666,0.4847936377348142,0.002513789152529217
100,3,0.1,0,1,0.8,1,0.8779661016949154,0.8027777777777778,0.4066666666666666,0.494949494949495,0.002513789152529217
200,3,0.1,0,0.8,0.8,1,0.8847457627118646,0.8,0.40888888888888886,0.517948717948718,0.002513789152529217
200,3,0.1,0,1,0.8,1,0.8813559322033899,0.8116666666666668,0.4288888888888889,0.510154173312068,0.002513789152529217
100,3,0.1,0,0.8,0.8,3,0.8949152542372882,0.9333333333333332,0.4066666666666666,0.5333333333333333,0.002513789152529217
100,3,0.1,0,1,0.8,3,0.8915254237288137,0.8964285714285716,0.4022222222222222,0.5238584944467297,0.002513789152529217
200,3,0.1,0,0.8,0.8,3,0.8949152542372882,0.8566666666666667,0.4488888888888889,0.5580827067669173,0.002513789152529217
200,3,0.1,0,1,0.8,3,0.8949152542372882,0.9047619047619048,0.42666666666666664,0.5411764705882354,0.002513789152529217
100,5,0.1,0,0.8,0.8,1,0.8881355932203391,0.8261904761904763,0.42666666666666664,0.5324988736753442,0.002513789152529217
100,5,0.1,0,1,0.8,1,0.8813559322033899,0.8242857142857142,0.3822222222222222,0.487012987012987,0.002513789152529217
200,5,0.1,0,0.8,0.8,1,0.8915254237288137,0.825,0.44666666666666666,0.5597716009480715,0.002513789152529217
200,5,0.1,0,1,0.8,1,0.8915254237288137,0.8433333333333334,0.4488888888888889,0.5476190476190477,0.002513789152529217
100,5,0.1,0,0.8,0.8,3,0.8915254237288137,0.9333333333333332,0.3844444444444444,0.5060606060606061,0.002513789152529217
100,5,0.1,0,1,0.8,3,0.888135593220339,0.8164285714285715,0.4222222222222222,0.5315508021390374,0.002513789152529217
200,5,0.1,0,0.8,0.8,3,0.8983050847457626,0.9333333333333332,0.42444444444444446,0.5483682983682984,0.002513789152529217
200,5,0.1,0,1,0.8,3,0.8915254237288135,0.8164285714285715,0.4444444444444445,0.5588235294117647,0.002513789152529217
100,7,0.1,0,0.8,0.8,1,0.8847457627118646,0.7695238095238095,0.4288888888888889,0.5268045679810386,0.002513789152529217
100,7,0.1,0,1,0.8,1,0.8881355932203391,0.8564285714285715,0.4022222222222222,0.5054169360051712,0.002513789152529217
