n_neighbors,metric,weights,accuracy,precision,recall,f1,preparationTime
3,cosine,uniform,0.8797585551787991,0.813685482784179,0.9796747967479674,0.8888617489008306,0.0011821809619173356
3,cosine,distance,0.907798860111103,0.8541179337231969,0.9796747967479674,0.9123838990901966,0.0011821809619173356
5,cosine,uniform,0.8076377365750428,0.7532754161043634,0.9062029509183981,0.8224099457789201,0.0011821809619173356
5,cosine,distance,0.8757785633552174,0.808843414377869,0.9796747967479674,0.8857247347730953,0.0011821809619173356
7,cosine,uniform,0.7775893995142246,0.7393892734276079,0.8491418247515808,0.7898506374150566,0.0011821809619173356
7,cosine,distance,0.8797826034677633,0.8146593663702678,0.9796747967479674,0.889256637117513,0.0011821809619173356
9,cosine,uniform,0.8136137363826563,0.7724881707439847,0.8938070862190103,0.8259841747675057,0.0011821809619173356
9,cosine,distance,0.8977346511795686,0.8403619817483922,0.9796747967479674,0.9045604646195234,0.0011821809619173356
11,cosine,uniform,0.813685881249549,0.7834505213815559,0.8573722774264779,0.8186321728361085,0.0011821809619173356
11,cosine,distance,0.901786787870043,0.8450066472163847,0.9796747967479674,0.9073051343442405,0.0011821809619173356
15,cosine,uniform,0.7674891181492436,0.7526591122527236,0.787814915186189,0.7696062788280512,0.0011821809619173356
15,cosine,distance,0.9037827958540751,0.8483759216882786,0.9796747967479674,0.909273665584327,0.0011821809619173356
20,cosine,uniform,0.7896015198518626,0.8018648018648019,0.7593596306333433,0.7800268025369531,0.0011821809619173356
20,cosine,distance,0.907798860111103,0.8541861461742247,0.9796747967479674,0.9125881665259467,0.0011821809619173356
3,euclidean,uniform,0.9218190125772551,0.8757745840140218,0.9796747967479674,0.9247146124785309,0.0011821809619173356
3,euclidean,distance,0.9418512372844671,0.9089365037888686,0.9796747967479674,0.9428907235408784,0.0011821809619173356
5,euclidean,uniform,0.85963013731573,0.8479050142282407,0.8694670280036134,0.8581635900042565,0.0011821809619173356
5,euclidean,distance,0.9338311329148931,0.8956315769763697,0.9796747967479674,0.935523741243596,0.0011821809619173356
7,euclidean,uniform,0.7734049972344467,0.8196324143692565,0.689651711331928,0.747218381684749,0.0011821809619173356
7,euclidean,distance,0.9298150686578649,0.8898750143332187,0.9796747967479674,0.9320328687234412,0.0011821809619173356
9,euclidean,uniform,0.7454368371690353,0.8357301763864612,0.6000702599618589,0.6981795981795981,0.0011821809619173356
9,euclidean,distance,0.9458673015414952,0.9160424469413234,0.9796747967479674,0.9465721157764874,0.0011821809619173356
11,euclidean,uniform,0.7654209652983189,0.8572452636968766,0.624560875238382,0.7223121595230753,0.0011821809619173356
11,euclidean,distance,0.945843253252531,0.9160135841170324,0.9796747967479674,0.9467455621301775,0.0011821809619173356
15,euclidean,uniform,0.7334006685424331,0.8476657329598506,0.5592191107096256,0.6735451768106397,0.0011821809619173356
15,euclidean,distance,0.9498472933650771,0.9230972515856237,0.9796747967479674,0.9504790081713158,0.0011821809619173356
20,euclidean,uniform,0.7234086044777914,0.8649413388543823,0.5186690755796447,0.6467574166139817,0.0011821809619173356
20,euclidean,distance,0.9518553254935912,0.9266084234962483,0.9796747967479674,0.9523086821566785,0.0011821809619173356
