max_depth,criterion,min_samples_split,min_samples_leaf,accuracy,precision,recall,f1,preparationTime
10,gini,2,1,0.6266666666666668,0.6313131313131314,0.655982905982906,0.6398046398046399,0.0022515144400009983
10,gini,5,1,0.68,0.697979797979798,0.6837606837606837,0.6864197530864198,0.0022515144400009983
10,gini,2,2,0.6666666666666666,0.6825396825396827,0.6837606837606837,0.6763285024154589,0.0022515144400009983
10,gini,5,2,0.6933333333333334,0.7222222222222223,0.6837606837606837,0.6960815888352121,0.0022515144400009983
30,gini,2,1,0.6266666666666668,0.6313131313131314,0.655982905982906,0.6398046398046399,0.0022515144400009983
30,gini,5,1,0.68,0.697979797979798,0.6837606837606837,0.6864197530864198,0.0022515144400009983
30,gini,2,2,0.6666666666666666,0.6825396825396827,0.6837606837606837,0.6763285024154589,0.0022515144400009983
30,gini,5,2,0.6933333333333334,0.7222222222222223,0.6837606837606837,0.6960815888352121,0.0022515144400009983
50,gini,2,1,0.6266666666666668,0.6313131313131314,0.655982905982906,0.6398046398046399,0.0022515144400009983
50,gini,5,1,0.68,0.697979797979798,0.6837606837606837,0.6864197530864198,0.0022515144400009983
50,gini,2,2,0.6666666666666666,0.6825396825396827,0.6837606837606837,0.6763285024154589,0.0022515144400009983
50,gini,5,2,0.6933333333333334,0.7222222222222223,0.6837606837606837,0.6960815888352121,0.0022515144400009983
100,gini,2,1,0.6266666666666668,0.6313131313131314,0.655982905982906,0.6398046398046399,0.0022515144400009983
100,gini,5,1,0.68,0.697979797979798,0.6837606837606837,0.6864197530864198,0.0022515144400009983
100,gini,2,2,0.6666666666666666,0.6825396825396827,0.6837606837606837,0.6763285024154589,0.0022515144400009983
100,gini,5,2,0.6933333333333334,0.7222222222222223,0.6837606837606837,0.6960815888352121,0.0022515144400009983
300,gini,2,1,0.6266666666666668,0.6313131313131314,0.655982905982906,0.6398046398046399,0.0022515144400009983
300,gini,5,1,0.68,0.697979797979798,0.6837606837606837,0.6864197530864198,0.0022515144400009983
300,gini,2,2,0.6666666666666666,0.6825396825396827,0.6837606837606837,0.6763285024154589,0.0022515144400009983
300,gini,5,2,0.6933333333333334,0.7222222222222223,0.6837606837606837,0.6960815888352121,0.0022515144400009983
500,gini,2,1,0.6266666666666668,0.6313131313131314,0.655982905982906,0.6398046398046399,0.0022515144400009983
500,gini,5,1,0.68,0.697979797979798,0.6837606837606837,0.6864197530864198,0.0022515144400009983
500,gini,2,2,0.6666666666666666,0.6825396825396827,0.6837606837606837,0.6763285024154589,0.0022515144400009983
500,gini,5,2,0.6933333333333334,0.7222222222222223,0.6837606837606837,0.6960815888352121,0.0022515144400009983
10,entropy,2,1,0.6266666666666666,0.6350524475524476,0.6602564102564102,0.6416361416361417,0.0022515144400009983
10,entropy,5,1,0.6133333333333334,0.6323232323232323,0.6068376068376068,0.6141975308641975,0.0022515144400009983
10,entropy,2,2,0.6133333333333334,0.6323232323232323,0.6068376068376068,0.6141975308641975,0.0022515144400009983
10,entropy,5,2,0.6133333333333334,0.6323232323232323,0.6068376068376068,0.6141975308641975,0.0022515144400009983
30,entropy,2,1,0.6266666666666666,0.6350524475524476,0.6602564102564102,0.6416361416361417,0.0022515144400009983
30,entropy,5,1,0.6133333333333334,0.6323232323232323,0.6068376068376068,0.6141975308641975,0.0022515144400009983
30,entropy,2,2,0.6133333333333334,0.6323232323232323,0.6068376068376068,0.6141975308641975,0.0022515144400009983
30,entropy,5,2,0.6133333333333334,0.6323232323232323,0.6068376068376068,0.6141975308641975,0.0022515144400009983
50,entropy,2,1,0.6266666666666666,0.6350524475524476,0.6602564102564102,0.6416361416361417,0.0022515144400009983
50,entropy,5,1,0.6133333333333334,0.6323232323232323,0.6068376068376068,0.6141975308641975,0.0022515144400009983
50,entropy,2,2,0.6133333333333334,0.6323232323232323,0.6068376068376068,0.6141975308641975,0.0022515144400009983
50,entropy,5,2,0.6133333333333334,0.6323232323232323,0.6068376068376068,0.6141975308641975,0.0022515144400009983
100,entropy,2,1,0.6266666666666666,0.6350524475524476,0.6602564102564102,0.6416361416361417,0.0022515144400009983
100,entropy,5,1,0.6133333333333334,0.6323232323232323,0.6068376068376068,0.6141975308641975,0.0022515144400009983
100,entropy,2,2,0.6133333333333334,0.6323232323232323,0.6068376068376068,0.6141975308641975,0.0022515144400009983
100,entropy,5,2,0.6133333333333334,0.6323232323232323,0.6068376068376068,0.6141975308641975,0.0022515144400009983
300,entropy,2,1,0.6266666666666666,0.6350524475524476,0.6602564102564102,0.6416361416361417,0.0022515144400009983
300,entropy,5,1,0.6133333333333334,0.6323232323232323,0.6068376068376068,0.6141975308641975,0.0022515144400009983
300,entropy,2,2,0.6133333333333334,0.6323232323232323,0.6068376068376068,0.6141975308641975,0.0022515144400009983
300,entropy,5,2,0.6133333333333334,0.6323232323232323,0.6068376068376068,0.6141975308641975,0.0022515144400009983
500,entropy,2,1,0.6266666666666666,0.6350524475524476,0.6602564102564102,0.6416361416361417,0.0022515144400009983
500,entropy,5,1,0.6133333333333334,0.6323232323232323,0.6068376068376068,0.6141975308641975,0.0022515144400009983
500,entropy,2,2,0.6133333333333334,0.6323232323232323,0.6068376068376068,0.6141975308641975,0.0022515144400009983
500,entropy,5,2,0.6133333333333334,0.6323232323232323,0.6068376068376068,0.6141975308641975,0.0022515144400009983
