n_estimators,max_depth,criterion,accuracy,precision,recall,f1,preparationTime
50,10,gini,0.7543859649122806,0.7964935064935066,0.7,0.7,0.0027006657765788135
100,10,gini,0.7970760233918128,0.8305555555555555,0.7644444444444444,0.7644444444444444,0.0027006657765788135
200,10,gini,0.8076023391812865,0.8454545454545455,0.7644444444444444,0.7644444444444444,0.0027006657765788135
50,10,gini,0.8181286549707603,0.8591919191919193,0.7844444444444444,0.7844444444444444,0.0027006657765788135
100,10,gini,0.808187134502924,0.8206060606060607,0.8088888888888889,0.8088888888888889,0.0027006657765788135
200,10,gini,0.839766081871345,0.8905555555555555,0.7866666666666666,0.7866666666666666,0.0027006657765788135
50,10,gini,0.8076023391812865,0.8769841269841269,0.7222222222222221,0.7222222222222221,0.0027006657765788135
100,10,gini,0.8192982456140351,0.8477777777777777,0.7888888888888889,0.7888888888888889,0.0027006657765788135
200,10,gini,0.7970760233918128,0.835,0.7422222222222221,0.7422222222222221,0.0027006657765788135
50,10,gini,0.7970760233918128,0.85,0.7244444444444443,0.7244444444444443,0.0027006657765788135
100,10,gini,0.8391812865497077,0.8664141414141415,0.8066666666666666,0.8066666666666666,0.0027006657765788135
200,10,gini,0.795906432748538,0.8232323232323232,0.7644444444444444,0.7644444444444444,0.0027006657765788135
50,30,gini,0.7543859649122806,0.7964935064935066,0.7,0.7,0.0027006657765788135
100,30,gini,0.7970760233918128,0.8305555555555555,0.7644444444444444,0.7644444444444444,0.0027006657765788135
200,30,gini,0.8076023391812865,0.8454545454545455,0.7644444444444444,0.7644444444444444,0.0027006657765788135
50,30,gini,0.8181286549707603,0.8591919191919193,0.7844444444444444,0.7844444444444444,0.0027006657765788135
100,30,gini,0.808187134502924,0.8206060606060607,0.8088888888888889,0.8088888888888889,0.0027006657765788135
200,30,gini,0.839766081871345,0.8905555555555555,0.7866666666666666,0.7866666666666666,0.0027006657765788135
50,30,gini,0.8076023391812865,0.8769841269841269,0.7222222222222221,0.7222222222222221,0.0027006657765788135
100,30,gini,0.8192982456140351,0.8477777777777777,0.7888888888888889,0.7888888888888889,0.0027006657765788135
200,30,gini,0.7970760233918128,0.835,0.7422222222222221,0.7422222222222221,0.0027006657765788135
50,30,gini,0.7970760233918128,0.85,0.7244444444444443,0.7244444444444443,0.0027006657765788135
100,30,gini,0.8391812865497077,0.8664141414141415,0.8066666666666666,0.8066666666666666,0.0027006657765788135
200,30,gini,0.795906432748538,0.8232323232323232,0.7644444444444444,0.7644444444444444,0.0027006657765788135
50,50,gini,0.7543859649122806,0.7964935064935066,0.7,0.7,0.0027006657765788135
100,50,gini,0.7970760233918128,0.8305555555555555,0.7644444444444444,0.7644444444444444,0.0027006657765788135
200,50,gini,0.8076023391812865,0.8454545454545455,0.7644444444444444,0.7644444444444444,0.0027006657765788135
50,50,gini,0.8181286549707603,0.8591919191919193,0.7844444444444444,0.7844444444444444,0.0027006657765788135
100,50,gini,0.808187134502924,0.8206060606060607,0.8088888888888889,0.8088888888888889,0.0027006657765788135
200,50,gini,0.839766081871345,0.8905555555555555,0.7866666666666666,0.7866666666666666,0.0027006657765788135
50,50,gini,0.8076023391812865,0.8769841269841269,0.7222222222222221,0.7222222222222221,0.0027006657765788135
100,50,gini,0.8192982456140351,0.8477777777777777,0.7888888888888889,0.7888888888888889,0.0027006657765788135
200,50,gini,0.7970760233918128,0.835,0.7422222222222221,0.7422222222222221,0.0027006657765788135
50,50,gini,0.7970760233918128,0.85,0.7244444444444443,0.7244444444444443,0.0027006657765788135
100,50,gini,0.8391812865497077,0.8664141414141415,0.8066666666666666,0.8066666666666666,0.0027006657765788135
200,50,gini,0.795906432748538,0.8232323232323232,0.7644444444444444,0.7644444444444444,0.0027006657765788135
50,100,gini,0.7543859649122806,0.7964935064935066,0.7,0.7,0.0027006657765788135
100,100,gini,0.7970760233918128,0.8305555555555555,0.7644444444444444,0.7644444444444444,0.0027006657765788135
200,100,gini,0.8076023391812865,0.8454545454545455,0.7644444444444444,0.7644444444444444,0.0027006657765788135
50,100,gini,0.8181286549707603,0.8591919191919193,0.7844444444444444,0.7844444444444444,0.0027006657765788135
100,100,gini,0.808187134502924,0.8206060606060607,0.8088888888888889,0.8088888888888889,0.0027006657765788135
200,100,gini,0.839766081871345,0.8905555555555555,0.7866666666666666,0.7866666666666666,0.0027006657765788135
50,100,gini,0.8076023391812865,0.8769841269841269,0.7222222222222221,0.7222222222222221,0.0027006657765788135
100,100,gini,0.8192982456140351,0.8477777777777777,0.7888888888888889,0.7888888888888889,0.0027006657765788135
200,100,gini,0.7970760233918128,0.835,0.7422222222222221,0.7422222222222221,0.0027006657765788135
50,100,gini,0.7970760233918128,0.85,0.7244444444444443,0.7244444444444443,0.0027006657765788135
100,100,gini,0.8391812865497077,0.8664141414141415,0.8066666666666666,0.8066666666666666,0.0027006657765788135
200,100,gini,0.795906432748538,0.8232323232323232,0.7644444444444444,0.7644444444444444,0.0027006657765788135
50,300,gini,0.7543859649122806,0.7964935064935066,0.7,0.7,0.0027006657765788135
100,300,gini,0.7970760233918128,0.8305555555555555,0.7644444444444444,0.7644444444444444,0.0027006657765788135
200,300,gini,0.8076023391812865,0.8454545454545455,0.7644444444444444,0.7644444444444444,0.0027006657765788135
50,300,gini,0.8181286549707603,0.8591919191919193,0.7844444444444444,0.7844444444444444,0.0027006657765788135
100,300,gini,0.808187134502924,0.8206060606060607,0.8088888888888889,0.8088888888888889,0.0027006657765788135
200,300,gini,0.839766081871345,0.8905555555555555,0.7866666666666666,0.7866666666666666,0.0027006657765788135
50,300,gini,0.8076023391812865,0.8769841269841269,0.7222222222222221,0.7222222222222221,0.0027006657765788135
100,300,gini,0.8192982456140351,0.8477777777777777,0.7888888888888889,0.7888888888888889,0.0027006657765788135
