n_estimators,max_depth,learning_rate,gamma,subsample,colsample_bytree,min_child_weight,accuracy,precision,recall,f1,preparationTime
100,3,0.01,0,0.8,0.8,1,0.6908602150537634,0.702991452991453,0.6597222222222222,0.6791187739463601,0.002536036170142247
100,3,0.01,0,1,0.8,1,0.6592741935483871,0.6678338001867413,0.6208333333333333,0.6388888888888888,0.002536036170142247
200,3,0.01,0,0.8,0.8,1,0.6696908602150536,0.6694677871148459,0.6805555555555555,0.672979797979798,0.002536036170142247
200,3,0.01,0,1,0.8,1,0.6586021505376344,0.6720354808590102,0.6194444444444445,0.6402777777777778,0.002536036170142247
100,3,0.01,0,0.8,0.8,3,0.5638440860215054,0.5714285714285715,0.5319444444444444,0.5498207885304659,0.002536036170142247
100,3,0.01,0,1,0.8,3,0.648521505376344,0.6517857142857143,0.6388888888888888,0.6442204301075268,0.002536036170142247
200,3,0.01,0,0.8,0.8,3,0.6169354838709676,0.6226190476190476,0.5958333333333333,0.6083333333333334,0.002536036170142247
200,3,0.01,0,1,0.8,3,0.6481854838709676,0.6548085901027078,0.6388888888888888,0.6448924731182796,0.002536036170142247
100,5,0.01,0,0.8,0.8,1,0.6696908602150536,0.6743966817496229,0.6597222222222222,0.6643745575892406,0.002536036170142247
100,5,0.01,0,1,0.8,1,0.6696908602150536,0.6717948717948717,0.6625,0.6628914281862002,0.002536036170142247
200,5,0.01,0,0.8,0.8,1,0.637768817204301,0.63953081232493,0.6388888888888888,0.6375000000000001,0.002536036170142247
200,5,0.01,0,1,0.8,1,0.616263440860215,0.6115196078431372,0.5986111111111111,0.6011904761904762,0.002536036170142247
100,5,0.01,0,0.8,0.8,3,0.5638440860215054,0.5714285714285715,0.5319444444444444,0.5498207885304659,0.002536036170142247
100,5,0.01,0,1,0.8,3,0.648521505376344,0.6517857142857143,0.6388888888888888,0.6442204301075268,0.002536036170142247
200,5,0.01,0,0.8,0.8,3,0.6169354838709676,0.6226190476190476,0.5958333333333333,0.6083333333333334,0.002536036170142247
200,5,0.01,0,1,0.8,3,0.6481854838709676,0.6548085901027078,0.6388888888888888,0.6448924731182796,0.002536036170142247
100,7,0.01,0,0.8,0.8,1,0.6696908602150536,0.6743966817496229,0.6597222222222222,0.6643745575892406,0.002536036170142247
100,7,0.01,0,1,0.8,1,0.6696908602150536,0.6717948717948717,0.6625,0.6628914281862002,0.002536036170142247
200,7,0.01,0,0.8,0.8,1,0.637768817204301,0.63953081232493,0.6388888888888888,0.6375000000000001,0.002536036170142247
200,7,0.01,0,1,0.8,1,0.616263440860215,0.6115196078431372,0.5986111111111111,0.6011904761904762,0.002536036170142247
100,7,0.01,0,0.8,0.8,3,0.5638440860215054,0.5714285714285715,0.5319444444444444,0.5498207885304659,0.002536036170142247
100,7,0.01,0,1,0.8,3,0.648521505376344,0.6517857142857143,0.6388888888888888,0.6442204301075268,0.002536036170142247
200,7,0.01,0,0.8,0.8,3,0.6169354838709676,0.6226190476190476,0.5958333333333333,0.6083333333333334,0.002536036170142247
200,7,0.01,0,1,0.8,3,0.6481854838709676,0.6548085901027078,0.6388888888888888,0.6448924731182796,0.002536036170142247
100,3,0.1,0,0.8,0.8,1,0.6273521505376344,0.6254084967320261,0.6375000000000001,0.6308243727598567,0.002536036170142247
100,3,0.1,0,1,0.8,1,0.637768817204301,0.6325863678804855,0.6597222222222222,0.6436274509803922,0.002536036170142247
200,3,0.1,0,0.8,0.8,1,0.659274193548387,0.6544117647058824,0.6805555555555555,0.6666666666666666,0.002536036170142247
200,3,0.1,0,1,0.8,1,0.6693548387096774,0.6666666666666666,0.6805555555555555,0.6733870967741935,0.002536036170142247
100,3,0.1,0,0.8,0.8,3,0.6696908602150536,0.6823361823361823,0.6611111111111111,0.6671610431343468,0.002536036170142247
100,3,0.1,0,1,0.8,3,0.67002688172043,0.6535947712418301,0.7236111111111111,0.6866830065359477,0.002536036170142247
200,3,0.1,0,0.8,0.8,3,0.659274193548387,0.6722689075630252,0.6388888888888888,0.6527777777777778,0.002536036170142247
200,3,0.1,0,1,0.8,3,0.67002688172043,0.6535947712418301,0.7236111111111111,0.6866830065359477,0.002536036170142247
100,5,0.1,0,0.8,0.8,1,0.617271505376344,0.6143790849673203,0.6388888888888888,0.6254072987943956,0.002536036170142247
100,5,0.1,0,1,0.8,1,0.6266801075268816,0.6258169934640523,0.6180555555555555,0.6174242424242424,0.002536036170142247
200,5,0.1,0,0.8,0.8,1,0.6384408602150536,0.6335784313725491,0.6597222222222222,0.6458333333333334,0.002536036170142247
200,5,0.1,0,1,0.8,1,0.6478494623655914,0.641947377241495,0.6597222222222222,0.6471433400946586,0.002536036170142247
100,5,0.1,0,0.8,0.8,3,0.6696908602150536,0.6823361823361823,0.6611111111111111,0.6671610431343468,0.002536036170142247
100,5,0.1,0,1,0.8,3,0.67002688172043,0.6535947712418301,0.7236111111111111,0.6866830065359477,0.002536036170142247
200,5,0.1,0,0.8,0.8,3,0.659274193548387,0.6722689075630252,0.6388888888888888,0.6527777777777778,0.002536036170142247
200,5,0.1,0,1,0.8,3,0.67002688172043,0.6535947712418301,0.7236111111111111,0.6866830065359477,0.002536036170142247
100,7,0.1,0,0.8,0.8,1,0.617271505376344,0.6143790849673203,0.6388888888888888,0.6254072987943956,0.002536036170142247
100,7,0.1,0,1,0.8,1,0.6266801075268816,0.6258169934640523,0.6180555555555555,0.6174242424242424,0.002536036170142247
200,7,0.1,0,0.8,0.8,1,0.6384408602150536,0.6335784313725491,0.6597222222222222,0.6458333333333334,0.002536036170142247
200,7,0.1,0,1,0.8,1,0.6478494623655914,0.641947377241495,0.6597222222222222,0.6471433400946586,0.002536036170142247
100,7,0.1,0,0.8,0.8,3,0.6696908602150536,0.6823361823361823,0.6611111111111111,0.6671610431343468,0.002536036170142247
100,7,0.1,0,1,0.8,3,0.67002688172043,0.6535947712418301,0.7236111111111111,0.6866830065359477,0.002536036170142247
200,7,0.1,0,0.8,0.8,3,0.659274193548387,0.6722689075630252,0.6388888888888888,0.6527777777777778,0.002536036170142247
200,7,0.1,0,1,0.8,3,0.67002688172043,0.6535947712418301,0.7236111111111111,0.6866830065359477,0.002536036170142247
100,3,0.01,0.1,0.8,0.8,1,0.6908602150537634,0.702991452991453,0.6597222222222222,0.6791187739463601,0.002536036170142247
100,3,0.01,0.1,1,0.8,1,0.6592741935483871,0.6678338001867413,0.6208333333333333,0.6388888888888888,0.002536036170142247
200,3,0.01,0.1,0.8,0.8,1,0.6696908602150536,0.6694677871148459,0.6805555555555555,0.672979797979798,0.002536036170142247
200,3,0.01,0.1,1,0.8,1,0.6478494623655914,0.6594092182327476,0.5986111111111111,0.6217592592592592,0.002536036170142247
100,3,0.01,0.1,0.8,0.8,3,0.5638440860215054,0.5714285714285715,0.5319444444444444,0.5498207885304659,0.002536036170142247
100,3,0.01,0.1,1,0.8,3,0.648521505376344,0.6517857142857143,0.6388888888888888,0.6442204301075268,0.002536036170142247
200,3,0.01,0.1,0.8,0.8,3,0.6169354838709676,0.6226190476190476,0.5958333333333333,0.6083333333333334,0.002536036170142247
200,3,0.01,0.1,1,0.8,3,0.6481854838709676,0.6548085901027078,0.6388888888888888,0.6448924731182796,0.002536036170142247
100,5,0.01,0.1,0.8,0.8,1,0.6696908602150536,0.6743966817496229,0.6597222222222222,0.6643745575892406,0.002536036170142247
100,5,0.01,0.1,1,0.8,1,0.6696908602150536,0.6717948717948717,0.6625,0.6628914281862002,0.002536036170142247
200,5,0.01,0.1,0.8,0.8,1,0.648521505376344,0.6560143288084465,0.6388888888888888,0.6443965517241379,0.002536036170142247
200,5,0.01,0.1,1,0.8,1,0.6266801075268816,0.6176470588235294,0.6194444444444445,0.614448051948052,0.002536036170142247
100,5,0.01,0.1,0.8,0.8,3,0.5638440860215054,0.5714285714285715,0.5319444444444444,0.5498207885304659,0.002536036170142247
100,5,0.01,0.1,1,0.8,3,0.648521505376344,0.6517857142857143,0.6388888888888888,0.6442204301075268,0.002536036170142247
200,5,0.01,0.1,0.8,0.8,3,0.6169354838709676,0.6226190476190476,0.5958333333333333,0.6083333333333334,0.002536036170142247
200,5,0.01,0.1,1,0.8,3,0.6481854838709676,0.6548085901027078,0.6388888888888888,0.6448924731182796,0.002536036170142247
100,7,0.01,0.1,0.8,0.8,1,0.6696908602150536,0.6743966817496229,0.6597222222222222,0.6643745575892406,0.002536036170142247
100,7,0.01,0.1,1,0.8,1,0.6696908602150536,0.6717948717948717,0.6625,0.6628914281862002,0.002536036170142247
200,7,0.01,0.1,0.8,0.8,1,0.648521505376344,0.6560143288084465,0.6388888888888888,0.6443965517241379,0.002536036170142247
200,7,0.01,0.1,1,0.8,1,0.6266801075268816,0.6176470588235294,0.6194444444444445,0.614448051948052,0.002536036170142247
100,7,0.01,0.1,0.8,0.8,3,0.5638440860215054,0.5714285714285715,0.5319444444444444,0.5498207885304659,0.002536036170142247
100,7,0.01,0.1,1,0.8,3,0.648521505376344,0.6517857142857143,0.6388888888888888,0.6442204301075268,0.002536036170142247
200,7,0.01,0.1,0.8,0.8,3,0.6169354838709676,0.6226190476190476,0.5958333333333333,0.6083333333333334,0.002536036170142247
200,7,0.01,0.1,1,0.8,3,0.6481854838709676,0.6548085901027078,0.6388888888888888,0.6448924731182796,0.002536036170142247
100,3,0.1,0.1,0.8,0.8,1,0.637768817204301,0.6478174603174603,0.6166666666666667,0.6308243727598567,0.002536036170142247
100,3,0.1,0.1,1,0.8,1,0.6381048387096774,0.6410818713450293,0.6388888888888888,0.6341013824884792,0.002536036170142247
200,3,0.1,0.1,0.8,0.8,1,0.6696908602150536,0.6696895424836602,0.6805555555555555,0.6740591397849464,0.002536036170142247
200,3,0.1,0.1,1,0.8,1,0.6488575268817204,0.6410818713450293,0.6805555555555555,0.658678955453149,0.002536036170142247
100,3,0.1,0.1,0.8,0.8,3,0.6696908602150536,0.6823361823361823,0.6611111111111111,0.6671610431343468,0.002536036170142247
100,3,0.1,0.1,1,0.8,3,0.67002688172043,0.6535947712418301,0.7236111111111111,0.6866830065359477,0.002536036170142247
200,3,0.1,0.1,0.8,0.8,3,0.659274193548387,0.6722689075630252,0.6388888888888888,0.6527777777777778,0.002536036170142247
200,3,0.1,0.1,1,0.8,3,0.67002688172043,0.6535947712418301,0.7236111111111111,0.6866830065359477,0.002536036170142247
100,5,0.1,0.1,0.8,0.8,1,0.648521505376344,0.6474673202614379,0.6597222222222222,0.6525537634408601,0.002536036170142247
100,5,0.1,0.1,1,0.8,1,0.616263440860215,0.6087768440709618,0.6388888888888888,0.62140522875817,0.002536036170142247
200,5,0.1,0.1,0.8,0.8,1,0.6804435483870966,0.6773148148148148,0.7027777777777778,0.6879480286738352,0.002536036170142247
200,5,0.1,0.1,1,0.8,1,0.6058467741935484,0.5970809376382132,0.6388888888888888,0.6146825396825397,0.002536036170142247
100,5,0.1,0.1,0.8,0.8,3,0.6696908602150536,0.6823361823361823,0.6611111111111111,0.6671610431343468,0.002536036170142247
100,5,0.1,0.1,1,0.8,3,0.67002688172043,0.6535947712418301,0.7236111111111111,0.6866830065359477,0.002536036170142247
200,5,0.1,0.1,0.8,0.8,3,0.659274193548387,0.6722689075630252,0.6388888888888888,0.6527777777777778,0.002536036170142247
200,5,0.1,0.1,1,0.8,3,0.67002688172043,0.6535947712418301,0.7236111111111111,0.6866830065359477,0.002536036170142247
100,7,0.1,0.1,0.8,0.8,1,0.648521505376344,0.6474673202614379,0.6597222222222222,0.6525537634408601,0.002536036170142247
100,7,0.1,0.1,1,0.8,1,0.616263440860215,0.6087768440709618,0.6388888888888888,0.62140522875817,0.002536036170142247
200,7,0.1,0.1,0.8,0.8,1,0.6804435483870966,0.6773148148148148,0.7027777777777778,0.6879480286738352,0.002536036170142247
200,7,0.1,0.1,1,0.8,1,0.6058467741935484,0.5970809376382132,0.6388888888888888,0.6146825396825397,0.002536036170142247
100,7,0.1,0.1,0.8,0.8,3,0.6696908602150536,0.6823361823361823,0.6611111111111111,0.6671610431343468,0.002536036170142247
100,7,0.1,0.1,1,0.8,3,0.67002688172043,0.6535947712418301,0.7236111111111111,0.6866830065359477,0.002536036170142247
200,7,0.1,0.1,0.8,0.8,3,0.659274193548387,0.6722689075630252,0.6388888888888888,0.6527777777777778,0.002536036170142247
200,7,0.1,0.1,1,0.8,3,0.67002688172043,0.6535947712418301,0.7236111111111111,0.6866830065359477,0.002536036170142247
100,3,0.01,0,0.8,1,1,0.6592741935483871,0.656517094017094,0.6611111111111111,0.6557613034090165,0.002536036170142247
100,3,0.01,0,1,1,1,0.648521505376344,0.6448211875843455,0.6625,0.648368830290737,0.002536036170142247
200,3,0.01,0,0.8,1,1,0.6696908602150536,0.665266106442577,0.6819444444444445,0.671590909090909,0.002536036170142247
200,3,0.01,0,1,1,1,0.6381048387096774,0.6323529411764706,0.6416666666666667,0.6313131313131313,0.002536036170142247
100,3,0.01,0,0.8,1,3,0.595766129032258,0.6017857142857143,0.5750000000000001,0.5870967741935483,0.002536036170142247
100,3,0.01,0,1,1,3,0.6488575268817204,0.6521942110177404,0.6402777777777778,0.6442204301075268,0.002536036170142247
200,3,0.01,0,0.8,1,3,0.6273521505376344,0.6442307692307693,0.5763888888888888,0.6058583611420096,0.002536036170142247
200,3,0.01,0,1,1,3,0.6589381720430106,0.6624338624338625,0.6611111111111111,0.6587813620071684,0.002536036170142247
100,5,0.01,0,0.8,1,1,0.67002688172043,0.673611111111111,0.6611111111111111,0.6623294479081955,0.002536036170142247
100,5,0.01,0,1,1,1,0.6589381720430106,0.6600989653621233,0.6625,0.6557613034090166,0.002536036170142247
200,5,0.01,0,0.8,1,1,0.6696908602150536,0.665266106442577,0.6819444444444445,0.671590909090909,0.002536036170142247
200,5,0.01,0,1,1,1,0.6159274193548386,0.6148148148148148,0.5986111111111111,0.6016385048643113,0.002536036170142247
100,5,0.01,0,0.8,1,3,0.595766129032258,0.6017857142857143,0.5750000000000001,0.5870967741935483,0.002536036170142247
100,5,0.01,0,1,1,3,0.6488575268817204,0.6521942110177404,0.6402777777777778,0.6442204301075268,0.002536036170142247
200,5,0.01,0,0.8,1,3,0.6273521505376344,0.6442307692307693,0.5763888888888888,0.6058583611420096,0.002536036170142247
200,5,0.01,0,1,1,3,0.6589381720430106,0.6624338624338625,0.6611111111111111,0.6587813620071684,0.002536036170142247
100,7,0.01,0,0.8,1,1,0.67002688172043,0.673611111111111,0.6611111111111111,0.6623294479081955,0.002536036170142247
100,7,0.01,0,1,1,1,0.6589381720430106,0.6600989653621233,0.6625,0.6557613034090166,0.002536036170142247
200,7,0.01,0,0.8,1,1,0.6696908602150536,0.665266106442577,0.6819444444444445,0.671590909090909,0.002536036170142247
200,7,0.01,0,1,1,1,0.6159274193548386,0.6148148148148148,0.5986111111111111,0.6016385048643113,0.002536036170142247
100,7,0.01,0,0.8,1,3,0.595766129032258,0.6017857142857143,0.5750000000000001,0.5870967741935483,0.002536036170142247
100,7,0.01,0,1,1,3,0.6488575268817204,0.6521942110177404,0.6402777777777778,0.6442204301075268,0.002536036170142247
200,7,0.01,0,0.8,1,3,0.6273521505376344,0.6442307692307693,0.5763888888888888,0.6058583611420096,0.002536036170142247
200,7,0.01,0,1,1,3,0.6589381720430106,0.6624338624338625,0.6611111111111111,0.6587813620071684,0.002536036170142247
100,3,0.1,0,0.8,1,1,0.6700268817204301,0.6736111111111112,0.6583333333333333,0.6657258064516128,0.002536036170142247
100,3,0.1,0,1,1,1,0.6703629032258064,0.6686777275012569,0.6833333333333332,0.6715430163706025,0.002536036170142247
200,3,0.1,0,0.8,1,1,0.6703629032258065,0.6749999999999999,0.6597222222222222,0.6666666666666666,0.002536036170142247
200,3,0.1,0,1,1,1,0.67002688172043,0.6686507936507936,0.6805555555555555,0.6725701033101412,0.002536036170142247
100,3,0.1,0,0.8,1,3,0.6381048387096774,0.6444444444444444,0.6166666666666667,0.6301075268817203,0.002536036170142247
100,3,0.1,0,1,1,3,0.6488575268817204,0.6299162940029813,0.7236111111111111,0.673015873015873,0.002536036170142247
200,3,0.1,0,0.8,1,3,0.6804435483870966,0.6943187531422826,0.6611111111111111,0.6741054875787912,0.002536036170142247
200,3,0.1,0,1,1,3,0.6381048387096774,0.6222910216718267,0.7013888888888888,0.6591269841269841,0.002536036170142247
100,5,0.1,0,0.8,1,1,0.6589381720430106,0.6660633484162896,0.6375000000000001,0.6493207941483804,0.002536036170142247
100,5,0.1,0,1,1,1,0.6589381720430108,0.6519607843137255,0.6625,0.6515151515151515,0.002536036170142247
200,5,0.1,0,0.8,1,1,0.6911962365591399,0.6880718954248367,0.7013888888888888,0.6940371456500488,0.002536036170142247
200,5,0.1,0,1,1,1,0.6911962365591396,0.6801470588235294,0.7236111111111111,0.7007575757575758,0.002536036170142247
100,5,0.1,0,0.8,1,3,0.6381048387096774,0.6444444444444444,0.6166666666666667,0.6301075268817203,0.002536036170142247
100,5,0.1,0,1,1,3,0.6488575268817204,0.6299162940029813,0.7236111111111111,0.673015873015873,0.002536036170142247
200,5,0.1,0,0.8,1,3,0.6804435483870966,0.6943187531422826,0.6611111111111111,0.6741054875787912,0.002536036170142247
200,5,0.1,0,1,1,3,0.6381048387096774,0.6222910216718267,0.7013888888888888,0.6591269841269841,0.002536036170142247
100,7,0.1,0,0.8,1,1,0.6589381720430106,0.6660633484162896,0.6375000000000001,0.6493207941483804,0.002536036170142247
100,7,0.1,0,1,1,1,0.6589381720430108,0.6519607843137255,0.6625,0.6515151515151515,0.002536036170142247
200,7,0.1,0,0.8,1,1,0.6911962365591399,0.6880718954248367,0.7013888888888888,0.6940371456500488,0.002536036170142247
200,7,0.1,0,1,1,1,0.6911962365591396,0.6801470588235294,0.7236111111111111,0.7007575757575758,0.002536036170142247
100,7,0.1,0,0.8,1,3,0.6381048387096774,0.6444444444444444,0.6166666666666667,0.6301075268817203,0.002536036170142247
100,7,0.1,0,1,1,3,0.6488575268817204,0.6299162940029813,0.7236111111111111,0.673015873015873,0.002536036170142247
200,7,0.1,0,0.8,1,3,0.6804435483870966,0.6943187531422826,0.6611111111111111,0.6741054875787912,0.002536036170142247
200,7,0.1,0,1,1,3,0.6381048387096774,0.6222910216718267,0.7013888888888888,0.6591269841269841,0.002536036170142247
100,3,0.01,0.1,0.8,1,1,0.6592741935483871,0.656517094017094,0.6611111111111111,0.6557613034090165,0.002536036170142247
100,3,0.01,0.1,1,1,1,0.648521505376344,0.6448211875843455,0.6625,0.648368830290737,0.002536036170142247
200,3,0.01,0.1,0.8,1,1,0.6696908602150536,0.665266106442577,0.6819444444444445,0.671590909090909,0.002536036170142247
200,3,0.01,0.1,1,1,1,0.6381048387096774,0.6323529411764706,0.6416666666666667,0.6313131313131313,0.002536036170142247
100,3,0.01,0.1,0.8,1,3,0.595766129032258,0.6017857142857143,0.5750000000000001,0.5870967741935483,0.002536036170142247
100,3,0.01,0.1,1,1,3,0.6488575268817204,0.6521942110177404,0.6402777777777778,0.6442204301075268,0.002536036170142247
200,3,0.01,0.1,0.8,1,3,0.6273521505376344,0.6442307692307693,0.5763888888888888,0.6058583611420096,0.002536036170142247
200,3,0.01,0.1,1,1,3,0.6589381720430106,0.6624338624338625,0.6611111111111111,0.6587813620071684,0.002536036170142247
100,5,0.01,0.1,0.8,1,1,0.680779569892473,0.6821581196581197,0.6819444444444445,0.6787498091561431,0.002536036170142247
100,5,0.01,0.1,1,1,1,0.6589381720430106,0.6600989653621233,0.6625,0.6557613034090166,0.002536036170142247
200,5,0.01,0.1,0.8,1,1,0.6696908602150536,0.665266106442577,0.6819444444444445,0.671590909090909,0.002536036170142247
200,5,0.01,0.1,1,1,1,0.6159274193548386,0.6148148148148148,0.5986111111111111,0.6016385048643113,0.002536036170142247
100,5,0.01,0.1,0.8,1,3,0.595766129032258,0.6017857142857143,0.5750000000000001,0.5870967741935483,0.002536036170142247
100,5,0.01,0.1,1,1,3,0.6488575268817204,0.6521942110177404,0.6402777777777778,0.6442204301075268,0.002536036170142247
200,5,0.01,0.1,0.8,1,3,0.6273521505376344,0.6442307692307693,0.5763888888888888,0.6058583611420096,0.002536036170142247
200,5,0.01,0.1,1,1,3,0.6589381720430106,0.6624338624338625,0.6611111111111111,0.6587813620071684,0.002536036170142247
100,7,0.01,0.1,0.8,1,1,0.680779569892473,0.6821581196581197,0.6819444444444445,0.6787498091561431,0.002536036170142247
100,7,0.01,0.1,1,1,1,0.6589381720430106,0.6600989653621233,0.6625,0.6557613034090166,0.002536036170142247
200,7,0.01,0.1,0.8,1,1,0.6696908602150536,0.665266106442577,0.6819444444444445,0.671590909090909,0.002536036170142247
200,7,0.01,0.1,1,1,1,0.6159274193548386,0.6148148148148148,0.5986111111111111,0.6016385048643113,0.002536036170142247
100,7,0.01,0.1,0.8,1,3,0.595766129032258,0.6017857142857143,0.5750000000000001,0.5870967741935483,0.002536036170142247
100,7,0.01,0.1,1,1,3,0.6488575268817204,0.6521942110177404,0.6402777777777778,0.6442204301075268,0.002536036170142247
200,7,0.01,0.1,0.8,1,3,0.6273521505376344,0.6442307692307693,0.5763888888888888,0.6058583611420096,0.002536036170142247
200,7,0.01,0.1,1,1,3,0.6589381720430106,0.6624338624338625,0.6611111111111111,0.6587813620071684,0.002536036170142247
100,3,0.1,0.1,0.8,1,1,0.6384408602150536,0.6523809523809524,0.5958333333333333,0.6222222222222222,0.002536036170142247
100,3,0.1,0.1,1,1,1,0.6804435483870966,0.6827094474153298,0.6625,0.6652637485970819,0.002536036170142247
200,3,0.1,0.1,0.8,1,1,0.6596102150537634,0.6597222222222222,0.6597222222222222,0.659274193548387,0.002536036170142247
200,3,0.1,0.1,1,1,1,0.6908602150537634,0.6841931216931217,0.7027777777777778,0.6914611005692599,0.002536036170142247
100,3,0.1,0.1,0.8,1,3,0.6381048387096774,0.6444444444444444,0.6166666666666667,0.6301075268817203,0.002536036170142247
100,3,0.1,0.1,1,1,3,0.6488575268817204,0.6299162940029813,0.7236111111111111,0.673015873015873,0.002536036170142247
200,3,0.1,0.1,0.8,1,3,0.6696908602150536,0.6804298642533936,0.6611111111111111,0.6673850574712644,0.002536036170142247
200,3,0.1,0.1,1,1,3,0.6381048387096774,0.6222910216718267,0.7013888888888888,0.6591269841269841,0.002536036170142247
100,5,0.1,0.1,0.8,1,1,0.6589381720430106,0.6660633484162896,0.6375000000000001,0.6493207941483804,0.002536036170142247
100,5,0.1,0.1,1,1,1,0.6478494623655914,0.6460784313725491,0.6597222222222222,0.6518817204301075,0.002536036170142247
