n_estimators,max_depth,min_samples_split,min_samples_leaf,criterion,accuracy,precision,recall,f1,preparationTime
10,10,2,1,gini,0.9683161665920287,0.9684096684104442,0.9683161665920287,0.9683142192216603,0.0012906522842506443
50,10,2,1,gini,0.9856073045728219,0.9860312729165188,0.9856073045728219,0.9856015347946633,0.0012906522842506443
100,10,2,1,gini,0.9827275215206249,0.9830310372575125,0.9827275215206249,0.982722685621971,0.0012906522842506443
300,10,2,1,gini,0.9870565258496292,0.9873726994939115,0.9870565258496292,0.9870517440395274,0.0012906522842506443
500,10,2,1,gini,0.9870565258496292,0.9873726994939115,0.9870565258496292,0.9870517440395274,0.0012906522842506443
10,10,5,1,gini,0.9755125143056178,0.9760403545532471,0.9755125143056178,0.9755039449582473,0.0012906522842506443
50,10,5,1,gini,0.9755125143056178,0.9758281451970493,0.9755125143056178,0.9755076784069637,0.0012906522842506443
100,10,5,1,gini,0.9856073045728219,0.9858197966750598,0.9856073045728219,0.985604524825911,0.0012906522842506443
300,10,5,1,gini,0.9783985171916206,0.9786900241445696,0.9783985171916206,0.9783938435586236,0.0012906522842506443
500,10,5,1,gini,0.982727521520625,0.9830313599701633,0.982727521520625,0.9827228478876279,0.0012906522842506443
10,10,2,2,gini,0.9639933820968304,0.9640519804516753,0.9639933820968304,0.9639926557725169,0.0012906522842506443
50,10,2,2,gini,0.9812783002438175,0.9817634072162337,0.9812783002438175,0.9812722059039309,0.0012906522842506443
100,10,2,2,gini,0.9827213016868189,0.9831696103110438,0.9827213016868189,0.9827153696430035,0.0012906522842506443
300,10,2,2,gini,0.9798415186346222,0.9801453570841604,0.9798415186346222,0.9798368450016249,0.0012906522842506443
500,10,2,2,gini,0.982727521520625,0.9830802752733159,0.982727521520625,0.9827225233258998,0.0012906522842506443
10,10,5,2,gini,0.9711897298104195,0.9717020599102854,0.9711897298104195,0.9711813877467387,0.0012906522842506443
50,10,5,2,gini,0.9755125143056178,0.975641778593296,0.9755125143056178,0.9755108322979734,0.0012906522842506443
100,10,5,2,gini,0.9812783002438175,0.9814781344386607,0.9812783002438175,0.9812754664083544,0.0012906522842506443
300,10,5,2,gini,0.982727521520625,0.9830802752733159,0.982727521520625,0.9827225233258998,0.0012906522842506443
500,10,5,2,gini,0.9812845200776236,0.9816736265929356,0.9812845200776236,0.9812793055408529,0.0012906522842506443
10,30,2,1,gini,0.9582213763248246,0.9583475145781127,0.9582213763248246,0.9582189191425092,0.0012906522842506443
50,30,2,1,gini,0.9841580832960144,0.9845529566422709,0.9841580832960144,0.9841544204736626,0.0012906522842506443
100,30,2,1,gini,0.982727521520625,0.9830310372575125,0.982727521520625,0.982722685621971,0.0012906522842506443
300,30,2,1,gini,0.982727521520625,0.9830313599701633,0.982727521520625,0.9827228478876279,0.0012906522842506443
500,30,2,1,gini,0.9827275215206249,0.9830310372575125,0.9827275215206249,0.982722685621971,0.0012906522842506443
10,30,5,1,gini,0.9711772901428074,0.9714100266307032,0.9711772901428074,0.9711731039414655,0.0012906522842506443
50,30,5,1,gini,0.9827213016868189,0.9831696103110438,0.9827213016868189,0.9827153696430035,0.0012906522842506443
100,30,5,1,gini,0.9812783002438175,0.9814787817130397,0.9812783002438175,0.9812757368511159,0.0012906522842506443
300,30,5,1,gini,0.9812845200776236,0.981624711289783,0.9812845200776236,0.981279630102581,0.0012906522842506443
500,30,5,1,gini,0.982727521520625,0.9830802752733159,0.982727521520625,0.9827225233258998,0.0012906522842506443
10,30,2,2,gini,0.9625441608200228,0.9629983808452754,0.9625441608200228,0.9625332462761799,0.0012906522842506443
50,30,2,2,gini,0.9783985171916206,0.9785520190873762,0.9783985171916206,0.978396618841931,0.0012906522842506443
100,30,2,2,gini,0.9784109568592326,0.9785381915169196,0.9784109568592326,0.9784086320123188,0.0012906522842506443
300,30,2,2,gini,0.9841643031298203,0.9846495182732592,0.9841643031298203,0.984158208789934,0.0012906522842506443
500,30,2,2,gini,0.982727521520625,0.9830802752733159,0.982727521520625,0.9827225233258998,0.0012906522842506443
10,30,5,2,gini,0.9726078519181968,0.9731350773946671,0.9726078519181968,0.9725993091256583,0.0012906522842506443
50,30,5,2,gini,0.9812720804100113,0.9814043783784198,0.9812720804100113,0.9812709733432413,0.0012906522842506443
100,30,5,2,gini,0.9856135244066279,0.9859663863303414,0.9856135244066279,0.9856085262119029,0.0012906522842506443
300,30,5,2,gini,0.9783985171916206,0.9787387084037801,0.9783985171916206,0.9783936272165782,0.0012906522842506443
500,30,5,2,gini,0.9812845200776236,0.9816003673111005,0.9812845200776236,0.9812796841789694,0.0012906522842506443
10,50,2,1,gini,0.9697280688659999,0.9702328737104152,0.9697280688659999,0.9697201589427403,0.0012906522842506443
50,50,2,1,gini,0.9812783002438175,0.9814787817130397,0.9812783002438175,0.9812757368511159,0.0012906522842506443
100,50,2,1,gini,0.9841643031298203,0.9843647845990425,0.9841643031298203,0.9841617397371188,0.0012906522842506443
300,50,2,1,gini,0.9856135244066279,0.9859173647052434,0.9856135244066279,0.9856087966850784,0.0012906522842506443
500,50,2,1,gini,0.9841705229636265,0.9844866947588313,0.9841705229636265,0.9841657952420769,0.0012906522842506443
10,50,5,1,gini,0.9654426033736377,0.9659043752302798,0.9654426033736377,0.9654322274161514,0.0012906522842506443
50,50,5,1,gini,0.9856073045728219,0.9857954545454546,0.9856073045728219,0.9856047411801203,0.0012906522842506443
100,50,5,1,gini,0.9783985171916206,0.9788088938546968,0.9783985171916206,0.9783920582713792,0.0012906522842506443
300,50,5,1,gini,0.982727521520625,0.9830802752733159,0.982727521520625,0.9827225233258998,0.0012906522842506443
500,50,5,1,gini,0.979841518634622,0.9801450343715096,0.979841518634622,0.979836682735968,0.0012906522842506443
10,50,2,2,gini,0.9668607254814151,0.9670559311119838,0.9668607254814151,0.9668559760836558,0.0012906522842506443
50,50,2,2,gini,0.976949295914813,0.977258695604906,0.976949295914813,0.9769457587091592,0.0012906522842506443
100,50,2,2,gini,0.9827275215206249,0.9833122294306337,0.9827275215206249,0.9827183571116626,0.0012906522842506443
300,50,2,2,gini,0.9769555157486192,0.9773057823947146,0.9769555157486192,0.976949706164781,0.0012906522842506443
500,50,2,2,gini,0.9841643031298203,0.9844136999021952,0.9841643031298203,0.9841614151753907,0.0012906522842506443
10,50,5,2,gini,0.9582338159924367,0.9583636345912513,0.9582338159924367,0.9582323331034841,0.0012906522842506443
50,50,5,2,gini,0.9755125143056178,0.9758507721677745,0.9755125143056178,0.9755068669874366,0.0012906522842506443
100,50,5,2,gini,0.9812845200776236,0.9816736265929356,0.9812845200776236,0.9812793055408529,0.0012906522842506443
300,50,5,2,gini,0.979841518634622,0.9801450343715096,0.979841518634622,0.979836682735968,0.0012906522842506443
500,50,5,2,gini,0.979841518634622,0.9801450343715096,0.979841518634622,0.979836682735968,0.0012906522842506443
10,100,2,1,gini,0.9582275961586307,0.9588811454064521,0.9582275961586307,0.9582113708413996,0.0012906522842506443
